WT,Longitude,Latitude
1,0.5491033,0.1008833
2,0.5456517,0.1000717
3,0.5423833,0.1027817
4,0.5390917,0.1034233
5,0.5361233,0.105425
6,0.53363,0.1026183
7,0.5310183,0.1000933
8,0.5312861,0.10327
9,0.523355,0.1019967
10,0.52301,0.0995167
11,0.5178433,0.098565
12,0.5143383,0.09783
13,0.5108567,0.098255
14,0.497525,0.1026517
15,0.4854217,0.102805
16,0.48207,0.1033467
17,0.4762083,0.1052833
18,0.471235,0.1049933
19,0.4676733,0.1053567
20,0.4634317,0.1055517
21,0.4582433,0.106605
22,0.4538917,0.1084033
23,0.5057933,0.0977517
24,0.5021833,0.0986083
25,0.4978,0.0982467
26,0.502345,0.0954783
27,0.4948983,0.0943617
28,0.4910767,0.0933667
29,0.4869433,0.09389
30,0.482695,0.0956567
31,0.4856517,0.08957
32,0.4795033,0.09157
33,0.4717683,0.0949967
34,0.5041317,0.082795
35,0.4964433,0.075425
36,0.4918567,0.0742033
37,0.4872733,0.0736
38,0.4526167,0.0544433
39,0.44793,0.0540717
40,0.4415683,0.0513883
41,0.4416983,0.055325
42,0.4397383,0.0597483
43,0.4421017,0.06356
44,0.439715,0.06581
45,0.5104417,0.1123433
46,0.5033072,0.1157617
47,0.495935,0.11775
48,0.48988,0.1192867
49,0.4776983,0.1207894
50,0.4739317,0.123675
51,0.46895,0.1274583
52,0.5543867,0.1010567
53,0.559705,0.1009983
54,0.5637511,0.10127
55,0.5681133,0.1014533
56,0.5751517,0.10372
57,0.5731583,0.1088167
58,0.5663583,0.10959
59,0.560135,0.1118517
60,0.5573217,0.114015
61,0.5800383,0.0892583
62,0.5834433,0.0917533
63,0.586855,0.0944
64,0.5905133,0.090965
65,0.5881517,0.0878533
66,0.5864683,0.0852433
