target,donor_1,score_1,donor_2,score_2,donor_3,score_3,donor_4,score_4,donor_5,score_5,donor_6,score_6,donor_7,score_7,donor_8,score_8,donor_9,score_9,donor_10,score_10,donor_11,score_11,donor_12,score_12,donor_13,score_13,donor_14,score_14,donor_15,score_15,donor_16,score_16,donor_17,score_17,donor_18,score_18,donor_19,score_19,donor_20,score_20,donor_21,score_21,donor_22,score_22,donor_23,score_23,donor_24,score_24,donor_25,score_25,donor_26,score_26,donor_27,score_27,donor_28,score_28,donor_29,score_29,donor_30,score_30,donor_31,score_31,donor_32,score_32,donor_33,score_33,donor_34,score_34,donor_35,score_35,donor_36,score_36,donor_37,score_37,donor_38,score_38,donor_39,score_39,donor_40,score_40,donor_41,score_41,donor_42,score_42,donor_43,score_43,donor_44,score_44,donor_45,score_45,donor_46,score_46,donor_47,score_47,donor_48,score_48,donor_49,score_49,donor_50,score_50,donor_51,score_51,donor_52,score_52,donor_53,score_53,donor_54,score_54,donor_55,score_55,donor_56,score_56,donor_57,score_57,donor_58,score_58,donor_59,score_59,donor_60,score_60,donor_61,score_61,donor_62,score_62,donor_63,score_63,donor_64,score_64,donor_65,score_65
1,2,0.0035457350606044984,52,0.0052862447086755755,3,0.0069830024029782015,4,0.010328781852667824,53,0.010602323702377748,5,0.013751634044359959,54,0.014652903525581532,60,0.015491405470453655,59,0.01555648428951741,6,0.015570267752675202,8,0.017976344253768595,7,0.018102246407559384,55,0.01901854358251449,58,0.019327225612849892,57,0.02532946625098923,9,0.025772361406165272,10,0.026129062372193902,56,0.026202404650146224,11,0.03134584685233432,61,0.033047160997580455,12,0.03489882327371505,62,0.0355329776404962,63,0.03830436047997674,13,0.03833680180257598,45,0.04032432162554005,66,0.040506207240372516,65,0.04116501478877431,64,0.04258122561516994,23,0.043423070119004675,24,0.046975121340982154,26,0.047069657358961015,46,0.04815235780073496,34,0.04847299664194489,25,0.051371005931848304,14,0.05160860654435456,27,0.05459590911011551,47,0.05577950962297889,35,0.05849103041398739,28,0.058511414126818005,48,0.06201680735453896,29,0.06255215299963697,36,0.0631584959570761,15,0.06371058867605912,31,0.06445227924169938,30,0.06661365968365646,16,0.06707854834781381,37,0.06758200469718247,32,0.07022035001970577,17,0.07302767300825078,49,0.07412777375727665,33,0.07755871507806197,18,0.07797669039456594,50,0.07855081817174148,19,0.08155278172790914,51,0.08444395849254106,20,0.08579870048619613,21,0.09103997721270579,22,0.09550811051717017,38,0.1070809860785751,39,0.11147808092827034,43,0.11332418596861835,44,0.11487356767237616,41,0.11666787357233349,42,0.11684516014794957,40,0.11837876181984666
2,1,0.0035457350606044984,3,0.004245767134452818,4,0.00736660183259555,52,0.00879036119849468,5,0.010929237276681292,6,0.01228846786422123,53,0.014083814414071257,7,0.014633415941604246,8,0.01471732265903005,54,0.018139024319130274,60,0.01818253323632331,59,0.018669075469610233,9,0.022379643783804908,55,0.022504050593615446,10,0.022648501140031304,58,0.022789500179907433,11,0.0278491876982076,57,0.02886326503637457,56,0.02972473873543727,12,0.03139353816392788,13,0.034842394060827585,61,0.036046745749373874,45,0.037287213177710096,62,0.03869626350334103,23,0.03992586192632536,63,0.04159182746381799,66,0.043426677078956984,24,0.043493026315950895,26,0.0435496221390036,65,0.04422148005845132,34,0.0449710436046352,46,0.04515786509845212,64,0.04577657850309484,25,0.047886488886636845,14,0.04819580534538247,27,0.051073591136320096,47,0.052766206513070416,28,0.05498534031903411,35,0.05503568343765705,48,0.058988971392032234,29,0.05903295389399037,36,0.059691508136082455,15,0.060291988098668585,31,0.06091211458232256,30,0.06311131673392655,16,0.06366598934980902,37,0.06409983219517812,32,0.06669250126850838,17,0.06963868593045103,49,0.07104145032901561,33,0.07405749402025429,18,0.074579269139956,50,0.0755041334689035,19,0.07815729071276711,51,0.08144431620714854,20,0.08240241986738006,21,0.08765222415575083,22,0.09213746880916575,38,0.10362172605954793,39,0.10800708611424527,43,0.1097984823979366,44,0.11133933938092137,41,0.11317498191937118,42,0.11332971758157692,40,0.11490616863824146
3,4,0.003353547542528716,2,0.004245767134452818,5,0.006795192042172211,1,0.0069830024029782015,6,0.008754824981117518,8,0.011107937915292857,7,0.011678643738037354,52,0.012126715819215027,53,0.017413265243773204,60,0.01869071489938254,9,0.019044485445661164,10,0.019646500398035307,59,0.019934586850246013,54,0.021421207102542035,11,0.024899641742201842,58,0.0249229527522322,55,0.025764268795368552,12,0.028478787858509696,57,0.03136115192399666,13,0.0318499218280045,56,0.03278183102650006,45,0.033342015612737044,23,0.03693411701936302,61,0.04000976596482413,24,0.04041605210259905,26,0.04069895721575674,46,0.04117550231885465,62,0.042515282035522226,34,0.043158464748528816,25,0.04481335586507665,14,0.04485848837054144,63,0.04525466822085872,66,0.04744557618535161,65,0.04814149525222502,27,0.048225736127092966,47,0.048800559195361685,64,0.049559371453742236,28,0.05216329579848271,35,0.053468426523416636,48,0.05503645642562757,29,0.056148516711396736,15,0.056961604765403163,36,0.058048792012582,31,0.05824966485268391,30,0.06011205188554125,16,0.060315946331712327,37,0.06235931137280141,32,0.06387172000885837,17,0.06622226685609611,49,0.0671448172556155,33,0.07104283531785598,18,0.07118266479593188,50,0.07156920795600577,19,0.07475436258172495,51,0.07746860097129679,20,0.0790001774843576,21,0.08422682009247409,22,0.08866998171376828,38,0.10195412394856819,39,0.10627365610013614,43,0.10767887930996499,44,0.10912234613396103,42,0.11130080655844322,41,0.11130861422140698,40,0.11315894038280845
4,3,0.003353547542528716,5,0.003580251590321542,6,0.005520705742022385,2,0.00736660183259555,8,0.007807105241381052,7,0.008733194579304777,1,0.010328781852667824,52,0.015477009419135268,9,0.015801231421949304,10,0.016549398733790882,53,0.020755451377650218,60,0.021083572014485664,11,0.021796733274736323,59,0.02266844506025952,54,0.02475323633891132,12,0.025377466706706486,58,0.02795524395261114,13,0.028704120782389316,55,0.02908838542373924,45,0.030006480966617816,23,0.033777958628667844,57,0.034490897337123655,56,0.03606122059623061,24,0.03722115279730057,26,0.03759578415048678,46,0.037851902921913975,34,0.04059222044788877,14,0.04157386096395181,25,0.041614921319762146,61,0.04332748869436128,27,0.04511284958988951,47,0.04547257511709662,62,0.045861239871595315,63,0.04860815538343341,28,0.04905685913875854,66,0.050744996083949105,35,0.0510175540912145,65,0.051471433824986944,48,0.05170530801039674,64,0.05290926370164309,29,0.05301263463977236,15,0.053673561414256776,31,0.055206408331732584,36,0.055542358835396946,30,0.05692897194267604,16,0.057021751450214105,37,0.059787756283791016,32,0.06075588971819927,17,0.06291090204058433,49,0.06380228046684532,33,0.06784871240576343,18,0.0678748601095427,50,0.06823457300291394,19,0.07144456518252448,51,0.07414539300516247,20,0.07568993120990394,21,0.08091098193354218,22,0.08534541815469646,38,0.09938292622477965,39,0.10366308875125221,43,0.10486249466272482,44,0.10625671197519705,42,0.10852927585015937,41,0.10862283749953318,40,0.11053711943306639
5,4,0.003580251590321542,6,0.0037542122715690514,8,0.005295519694987441,3,0.006795192042172211,7,0.007381602122168278,2,0.010929237276681292,9,0.013220541811136141,1,0.013751634044359959,10,0.014382859443796282,52,0.01877854692062199,11,0.019524804736539586,60,0.022872696879904706,12,0.023070982857260277,53,0.023993587638783866,59,0.024856874497410246,13,0.02626423377066226,45,0.02659713242907961,54,0.027938492404566122,58,0.03052052506101428,23,0.03128559465456903,55,0.03223560920612491,46,0.034405577834124526,24,0.03461778443069397,26,0.03521236134910573,57,0.03718998324670237,14,0.03869780298389042,25,0.038989784736261315,56,0.03906562467899375,34,0.03918646922803841,47,0.04203575956123543,27,0.04268368812427057,28,0.04663259343474261,61,0.04679625427200348,48,0.04827617965187385,62,0.04925543402397347,35,0.04974437053577017,29,0.050514637730067855,15,0.05076924898558177,63,0.05191585509158069,31,0.052903340457479575,16,0.05409323961254305,36,0.05416942335349343,66,0.054239469391670944,30,0.05431392938998244,65,0.05491556288931226,64,0.05627933635003175,32,0.05829052603125137,37,0.05830225660298232,17,0.059915167561227764,49,0.06041146755674782,50,0.06481402325546527,18,0.06488973602797282,33,0.06519444352005775,19,0.06845003407515583,51,0.07069454393218758,20,0.07269171041769477,21,0.07788893888094761,22,0.08228551700907027,38,0.09783908206054469,39,0.10205498315016272,43,0.10292103522390356,44,0.10423007499704676,42,0.10666034477672567,41,0.10689289323898009,40,0.1089064413700585
6,8,0.0024328132069684908,7,0.0036327127453185683,5,0.0037542122715690514,4,0.005520705742022385,3,0.008754824981117518,9,0.010293785093929282,10,0.01106364870013512,2,0.01228846786422123,1,0.015570267752675202,11,0.016298746509471253,12,0.01987705978710133,52,0.020815359460023705,13,0.02318753069604437,45,0.025145036923615808,53,0.02612527559663243,60,0.026290329396567082,59,0.02806725317091076,23,0.0282589041268412,54,0.030151261633636395,24,0.031701341310581846,26,0.03208941920633654,46,0.03304876946877154,58,0.03346260930919757,55,0.03450297384125026,34,0.0355403000237759,25,0.03609570315924046,14,0.03610501544882655,27,0.03960197000718528,57,0.04001133168803554,47,0.04061873176122074,56,0.04153631319436042,28,0.043547393072949914,35,0.046068711961373576,48,0.0468177109495969,29,0.04749559114044168,15,0.04820866152238624,61,0.04829306274083262,31,0.049720975491033985,36,0.05052148867452349,62,0.050984439605530577,30,0.05140854111487707,16,0.051565144880626544,63,0.05385574323960256,37,0.05469008474833443,32,0.055242778584897435,66,0.055621727516232365,65,0.056485582194839776,17,0.05748350942566058,64,0.058064698567890594,49,0.05880938649654495,33,0.062329436973632364,18,0.06244018457692133,50,0.06330301444465346,19,0.06601352217121886,51,0.0692858427097485,20,0.07025956275447497,21,0.07549204139364628,22,0.07994787496794399,38,0.09425489590408559,39,0.0984949865300768,43,0.0995137201584787,44,0.1008706011377448,42,0.10321573634330186,41,0.10338323698637034,40,0.10535591823381354
7,8,0.0031879679625115417,6,0.0036327127453185683,5,0.007381602122168278,9,0.007896144530718812,10,0.008029030853720844,4,0.008733194579304777,3,0.011678643738037354,11,0.013263345199835571,2,0.014633415941604246,12,0.016832852607030126,1,0.018102246407559384,13,0.020245233054968767,52,0.023388250428794326,45,0.023947003310644158,23,0.025333450526132492,53,0.02870097179347761,24,0.028873213364639605,26,0.029042320118923017,60,0.029760419729062945,59,0.03140130872193068,46,0.0318340041743103,34,0.03197061842457861,54,0.03275394355997447,25,0.033269586508551656,14,0.03359087012046583,27,0.03657192418454357,58,0.036593755080477804,55,0.03711992221166417,47,0.039275908567212074,28,0.04050405606997904,35,0.04247299906870252,57,0.04303344405877824,56,0.04428216287005412,29,0.044509398511887385,48,0.0453954439393427,15,0.045677163314396,31,0.046571109482704,36,0.046945958447559735,30,0.04852653647696285,16,0.04905630116967652,61,0.05020316349593913,37,0.05114215452921399,32,0.052215341307799604,62,0.05308423706713693,17,0.055055174143762445,63,0.056126203610969407,49,0.057195724973200614,66,0.05740405037974237,65,0.058429812557974206,33,0.05946879712555156,18,0.05998377246297539,64,0.060191202728388765,50,0.061765495824529774,19,0.06356329447534957,20,0.06780665623757012,51,0.06783300885181202,21,0.07306574342255066,22,0.07757298838874269,38,0.09072338939082915,39,0.09498238396381725,43,0.09612930752091171,44,0.09752762300897118,42,0.09979858428354585,41,0.09991127606476664,40,0.10185027994561431
8,6,0.0024328132069684908,7,0.0031879679625115417,5,0.005295519694987441,4,0.007807105241381052,9,0.008032660835613534,10,0.009087413939069804,3,0.011107937915292857,11,0.014242397861315327,2,0.01471732265903005,12,0.017799481027265893,1,0.017976344253768595,13,0.02103593614175507,45,0.022733538753348527,52,0.0232063874235091,23,0.026083222322596553,60,0.02816571483843438,53,0.02850955099786739,24,0.02947379199780712,26,0.02997161754226816,59,0.03009824921984672,46,0.03064084551868635,54,0.03252654646592531,14,0.033766761291246145,25,0.03386078020512814,34,0.03400863220360386,58,0.03563708199109461,55,0.0368719820287709,27,0.03746237843130088,47,0.03820171031786401,28,0.041411003359614465,57,0.042237980701378255,56,0.04386790812610063,48,0.04439594346446531,35,0.04460229519699631,29,0.04532403679991442,15,0.045866757159842876,31,0.04764649476467284,36,0.0489852083107748,30,0.04918391338740747,16,0.04921615976587363,61,0.05072577985334481,37,0.05307952019225491,32,0.05308811897063218,62,0.053413555308835244,17,0.0551145845464701,63,0.05627236930510394,49,0.05637891170641729,66,0.058052020720471116,65,0.05891834266380894,18,0.06007582187619239,33,0.06009006581565709,64,0.06049193537026241,50,0.0608760316081789,19,0.06364701596092306,51,0.06686451390760274,20,0.06789275185356679,21,0.07311889534750915,22,0.07756445010602471,38,0.09259007035989335,39,0.09679210778829025,43,0.09762551563684567,44,0.09893693928563786,42,0.10136635563997551,41,0.10161051586248344,40,0.10363876896089606
9,10,0.0025038819860368836,11,0.006492719136078509,7,0.007896144530718812,8,0.008032660835613534,12,0.009932888189242832,6,0.010293785093929282,13,0.013046371977680195,5,0.013220541811136141,4,0.015801231421949304,45,0.016547067669227693,23,0.018067466117029262,3,0.019044485445661164,24,0.021441131860282018,26,0.021997946235046553,2,0.022379643783804908,46,0.02431850138968276,1,0.025772361406165272,25,0.02582867640820953,14,0.02583830344662747,34,0.02717058235997164,27,0.02946314646961522,52,0.03104593378995065,47,0.03162313806202667,28,0.03341205696885486,60,0.036030212929984214,53,0.036363708591946445,29,0.03730322347706696,48,0.03767651423632502,35,0.037819238989963845,15,0.037941910834590295,59,0.0380774135807568,31,0.03969838414570547,54,0.040402635905346505,30,0.0411513207564472,16,0.041307066284111744,36,0.04200733253195211,58,0.04366854721398454,55,0.04476159852429315,32,0.04507424614766174,37,0.045915810411883175,17,0.04726111573429053,49,0.04937306784249891,57,0.050268092174758326,56,0.051825359562476775,33,0.05205946231848735,18,0.05220607255444523,50,0.05396861378412457,19,0.05578298409811006,61,0.058097016562384675,20,0.0600286590545716,51,0.060068270322692026,62,0.06095515597921146,63,0.06395279392559797,21,0.0652745731949279,66,0.06529904324299098,65,0.06632230465273357,64,0.06805832545530341,22,0.06975811472832391,38,0.08523633578732726,39,0.08936294673968626,43,0.08988592029778637,44,0.09113246873035975,42,0.09368393577049375,41,0.09405351793409965,40,0.09617834708212654
10,9,0.0025038819860368836,11,0.005253619873953546,7,0.008029030853720844,12,0.008834214044271234,8,0.009087413939069804,6,0.01106364870013512,13,0.012218616442952865,5,0.014382859443796282,4,0.016549398733790882,23,0.01730693456074758,45,0.017957834848611322,3,0.019646500398035307,24,0.020846501467872227,26,0.02105589940040551,2,0.022648501140031304,34,0.025219148712436763,25,0.025241969019868433,46,0.025536255654265382,14,0.025677099719399753,1,0.026129062372193902,27,0.02858044264685202,52,0.031414469642029645,28,0.03252011914015691,47,0.03264213310875988,35,0.035863624437304155,29,0.036502967027078725,53,0.03672489841456342,60,0.03724907327410984,15,0.03773185939998183,48,0.03858043286434199,31,0.03865979073637099,59,0.039120555338594126,36,0.04014095564943615,30,0.04049936820494857,54,0.04077880932665884,16,0.04111876092491113,37,0.04414506841970003,32,0.04422649642216751,58,0.044503331176216465,55,0.045144856744152,17,0.047155623190135026,49,0.050056747019557674,57,0.051003352761264664,33,0.05144066697555544,18,0.05206384323654945,56,0.05231084600520247,50,0.05470194685548217,19,0.055644011060400705,61,0.057943608547017536,20,0.05988317840504123,51,0.0608540599348967,62,0.06092991160710807,63,0.0640497044793339,66,0.06504372211405195,21,0.06515342988500294,65,0.06617760934371995,64,0.06804283271425438,22,0.06968723738569348,38,0.08358724826461271,39,0.08776248871243338,43,0.08853833793210712,44,0.08985654483614419,42,0.09228055948817168,41,0.09254457793831035,40,0.09459964791398534
