target,donor_1,score_1,donor_2,score_2,donor_3,score_3,donor_4,score_4,donor_5,score_5,donor_6,score_6,donor_7,score_7,donor_8,score_8,donor_9,score_9,donor_10,score_10,donor_11,score_11,donor_12,score_12,donor_13,score_13,donor_14,score_14,donor_15,score_15,donor_16,score_16,donor_17,score_17,donor_18,score_18,donor_19,score_19,donor_20,score_20,donor_21,score_21,donor_22,score_22,donor_23,score_23,donor_24,score_24,donor_25,score_25,donor_26,score_26,donor_27,score_27,donor_28,score_28,donor_29,score_29,donor_30,score_30,donor_31,score_31,donor_32,score_32,donor_33,score_33,donor_34,score_34,donor_35,score_35,donor_36,score_36,donor_37,score_37,donor_38,score_38,donor_39,score_39,donor_40,score_40,donor_41,score_41,donor_42,score_42,donor_43,score_43,donor_44,score_44,donor_45,score_45,donor_46,score_46,donor_47,score_47,donor_48,score_48,donor_49,score_49,donor_50,score_50,donor_51,score_51,donor_52,score_52,donor_53,score_53,donor_54,score_54,donor_55,score_55,donor_56,score_56,donor_57,score_57,donor_58,score_58,donor_59,score_59,donor_60,score_60,donor_61,score_61,donor_62,score_62,donor_63,score_63,donor_64,score_64,donor_65,score_65
1,26,0.1954110874400274,41,0.3396458166028911,38,0.3710751276345457,11,0.4447104195772679,10,0.4697101143784955,3,0.4831681390974736,57,0.4917489680003664,64,0.5325097830627705,52,0.5608268094917372,47,0.5869048764906529,51,0.6576352213499909,55,0.739754909221947,21,0.747395545445093,19,0.8124886148421814,2,0.8649822195010504,35,0.8853542783187592,37,0.8903160852800868,54,0.9516123407422791,42,0.9766089323559282,17,0.9900240969403795,5,0.9964356121372522,44,1.0125848285358159,32,1.0200633043086185,24,1.027888750178843,34,1.0470040600635744,66,1.0851432054943169,49,1.088987882025722,36,1.0926707343865967,12,1.1195879102127144,9,1.1244670186179087,28,1.163449794194232,29,1.1663478181886389,40,1.193237933154449,25,1.1962913438550722,15,1.20563677751502,13,1.2139030643842397,20,1.225219156893764,30,1.2512881777313738,65,1.2618728456757287,14,1.2917159091370962,16,1.305977787168357,27,1.3307865340233758,59,1.3748770478156662,22,1.3802460038701865,31,1.3915591674643306,61,1.5317827775344726,56,1.5391727510504452,33,1.554127736674639,48,1.5771812453241716,23,1.5886952297404848,18,1.6493075920657596,4,1.650844293688462,58,1.6561273008009394,50,1.7018572231339426,8,1.7468507956225192,39,1.7911032667458833,45,1.8043997418659412,6,1.8078038082757253,43,1.8221767021150725,7,1.8444455989112432,46,1.8570717064747733,60,1.9264611491485581,53,1.9390665569179806,62,2.045867642330683,63,2.120271270568479
2,54,0.2540952399229603,34,0.45955377526617447,66,0.4823835549714386,10,0.4993704272419685,36,0.5367671335015138,42,0.5445294592802452,21,0.5465901280767291,11,0.54916942139491,52,0.5554145837465444,47,0.5657512074265156,65,0.6144496321169328,19,0.6636017018345944,5,0.6871546894095063,44,0.7289986487859179,26,0.8341192928563848,1,0.8649822195010504,32,0.8957672357289512,41,0.8959521856372652,49,0.9076783645108536,64,0.93211050568921,38,0.9463374221560891,3,0.9697923161919648,57,0.9866007407509516,12,1.0282145842272412,51,1.0419400591543593,55,1.144046789953601,28,1.1850438358397142,37,1.2730180086658751,17,1.289773585884349,35,1.2919982550308373,24,1.3381606939837698,9,1.3509172424408162,29,1.3751759004403026,40,1.3803179693286944,22,1.4071735661989195,13,1.4375063174325882,20,1.5232832994380388,25,1.535858331837182,27,1.5386523571765278,16,1.5494476761463005,15,1.5601294800577334,30,1.5674930441646793,31,1.589705410567563,14,1.591702004280134,48,1.6377589244354607,59,1.6395409554166622,33,1.6544619660893676,61,1.6927119673446573,56,1.7343720001470264,23,1.780028865281627,58,1.8292256985251143,8,1.8310913675569978,18,1.8931200170847209,4,1.9015315941059048,50,1.9050993627318973,39,1.9546673143106321,45,1.9805467694457917,6,2.000208406419181,46,2.0217596744535973,43,2.0223619751106705,7,2.0599531207260773,60,2.0898278274477597,53,2.0907008044659325,62,2.2058067557230503,63,2.2464274051272866
3,57,0.34437311204980764,51,0.3860788789819129,1,0.4831681390974736,26,0.5451049137514654,55,0.5533946233989729,41,0.5613700175830934,38,0.6289581238171701,11,0.7465188022841025,10,0.7490027640396899,35,0.754330696157252,47,0.7726677927980522,37,0.7913696057949561,52,0.7944411275823064,64,0.7979063041578616,17,0.8596761110909391,21,0.8669757461684175,19,0.8902881074276484,24,0.9285860558866522,2,0.9697923161919648,42,1.0504638939618112,9,1.0744181826197674,54,1.092144630869038,29,1.0948273197311813,34,1.100740980485555,40,1.1229554672590218,32,1.1234962224912806,44,1.1395395381026538,36,1.1404200004968295,5,1.1497850530131253,15,1.1611301739306064,49,1.161575829382592,66,1.1840711898900493,20,1.1949584538469602,13,1.2171713983122725,12,1.240705121778846,25,1.2613736297912719,28,1.277714321529677,16,1.2951017274860812,30,1.2983514610811455,65,1.3144176570173751,14,1.3204768323118325,27,1.3262887912333952,59,1.3856112620857244,31,1.4462195448919486,22,1.4987600945854578,61,1.5867221372573614,23,1.630688749596512,56,1.6308630230717083,4,1.6523986426888109,48,1.664439998164023,18,1.6735183371764975,33,1.685315960510002,50,1.7262923149125133,58,1.7662847995315243,39,1.8493175019222428,45,1.8836555792400371,6,1.8908860108705796,8,1.8971170313035781,43,1.918742773778121,7,1.9237734608680046,46,1.9813864789061557,53,2.064070088738894,60,2.115630755095307,62,2.2156771988644772,63,2.312634324636226
4,18,0.21291364311214286,50,0.2509835183471383,45,0.3241796039840123,6,0.34678163917748367,23,0.3563660155292575,7,0.4055731013546261,58,0.4234973599037559,43,0.4353785145328163,46,0.4626910954694237,39,0.54677927115415,33,0.5702210904720675,8,0.5957554559184106,56,0.5971665476813237,53,0.6469877251646421,31,0.6581928878499637,60,0.6607573289969817,48,0.6724467620204512,14,0.7052271865207179,27,0.7142121150963977,16,0.7150352986051158,15,0.7178061496544634,25,0.7349142107296818,30,0.7543670548258132,22,0.8111929956155709,20,0.8190121087277694,63,0.9211238567341689,13,0.9273141813291856,62,0.9453973257286388,28,0.9515904857549679,29,0.9529947320015468,61,0.9997743537742849,24,1.0963398964528417,40,1.100396141065485,9,1.1165517079428038,12,1.131333826519794,59,1.170387729919757,32,1.2692976968789584,17,1.2860415940286043,49,1.30834660762654,19,1.4371859067707138,37,1.4405992183875846,5,1.4880175236576318,35,1.4926679201051742,21,1.5101138390979005,44,1.5564732287643033,55,1.6058445467349975,41,1.62120038969971,38,1.6314043736209194,26,1.6436991420658977,1,1.650844293688462,3,1.6523986426888109,42,1.6611126722897367,11,1.7221886751382562,47,1.726255557894793,51,1.7558394690772847,10,1.79524219433226,52,1.8348184851796987,57,1.844374657005901,2,1.9015315941059048,34,1.9342288723782723,36,1.9595250877054693,54,1.9885437078988555,64,2.1036011545184303,65,2.2896086563473217,66,2.3207804638327203
5,44,0.1933300762849932,32,0.2973523551840654,49,0.332411853681057,42,0.3381976340848646,12,0.43099758063138005,36,0.5865092617276135,21,0.5912736129218314,34,0.5938134827265528,19,0.6243896745293603,28,0.6728955891030646,2,0.6871546894095063,54,0.6998134857970582,47,0.79016793149841,11,0.7939760067358593,10,0.8284715222918317,22,0.8406592755279325,52,0.8828513057953176,41,0.9007065829545698,65,0.9448673616837885,26,0.9499866553341849,1,0.9964356121372522,38,1.0183661916985376,40,1.0956806741759395,51,1.099684412155428,37,1.1062321742814931,66,1.1067295542202555,48,1.114678789052588,13,1.1312705234292175,29,1.1390084104930134,9,1.1404311159474614,57,1.1437900987399257,24,1.1465793789833127,3,1.1497850530131253,55,1.1523626083323495,35,1.1552433022001136,33,1.156061718991761,17,1.1660908037231519,31,1.215144261285145,30,1.2160143084065569,25,1.2161432695643266,27,1.2250634976567947,15,1.23186747367214,20,1.2365085788508872,16,1.25208091292783,14,1.256495029817715,64,1.2639105072700891,23,1.363665583656046,8,1.3660394396174886,56,1.3818593356230806,61,1.3844011024751486,59,1.4159058662259132,39,1.4436490673259554,58,1.444552932863343,50,1.4492300025899028,18,1.454815919430152,4,1.4880175236576318,45,1.5036698548708647,43,1.5305587715349382,46,1.531728290011474,6,1.549586881391936,7,1.5663654320360931,53,1.5925478267147826,60,1.601256717523872,62,1.7224175686359515,63,1.7896485323162494
6,43,0.2115086177190563,45,0.2338349045591388,46,0.23776402165031868,7,0.26593540102950036,4,0.34678163917748367,53,0.3921700329458632,18,0.4075357528432577,60,0.4110457450163393,8,0.43895465694082747,39,0.4504588335255974,50,0.47781193675403094,33,0.5304195576691958,23,0.5484640466512569,58,0.598473632156336,63,0.6560254700501817,48,0.6809699237940535,62,0.7395592168142138,56,0.7985105631400933,22,0.8376822818168799,31,0.8388913734550589,16,0.917483352127215,14,0.9359809110796304,27,0.9387651364358461,30,0.9698620384056748,25,0.9870453310084388,15,0.996612259340357,28,1.061297253933218,20,1.0751217432082398,13,1.1128983570423698,29,1.174476212672103,12,1.1869563410407529,61,1.1927708858531056,9,1.2777717661029964,40,1.293989258241632,24,1.3263457675110868,59,1.3447236306808068,32,1.3739420504152704,49,1.4053009747117478,17,1.5005001243693294,5,1.549586881391936,37,1.57206692976293,35,1.6042850699743698,19,1.624764588817087,44,1.6262119815094749,21,1.6413800390652664,41,1.7117440343094572,55,1.7325129686670473,26,1.743721175816357,42,1.7458480477751717,38,1.7647050981016925,1,1.8078038082757253,11,1.81017690245618,47,1.8439751573834677,51,1.8647077826993101,3,1.8908860108705796,10,1.9247028633788439,52,1.9283464011643026,57,1.954711688829836,2,2.000208406419181,34,2.030089782412813,36,2.040968110025733,54,2.0699183028311756,64,2.2076771463917435,65,2.3851123526187576,66,2.427268031893533
7,45,0.2531564038040418,6,0.26593540102950036,43,0.2723749138207238,46,0.29295833930713605,4,0.4055731013546261,18,0.4379029405956385,50,0.44394211219925933,39,0.4751072694430003,53,0.5221950087713261,60,0.5646555383973533,8,0.5679672583153856,23,0.5718373782949805,33,0.617452956749867,58,0.6743422845303575,48,0.7028776127745461,62,0.7725889592019939,63,0.8243764624683738,22,0.8434194187868436,31,0.8627732197280347,56,0.8663141428081144,14,0.9777605758011816,15,0.9865365485897717,30,0.9950730146248343,16,0.9985916670187027,27,1.0125578593150495,25,1.0243961426157624,20,1.0992111269915728,28,1.108791108268749,13,1.1398046352666118,12,1.2250424321242996,29,1.235638279532346,61,1.262314778074298,40,1.2695906297451287,32,1.3388698817048201,9,1.3398164078640773,24,1.3624902692849326,49,1.3631002946840098,59,1.4266871336517994,17,1.5187394056547812,5,1.5663654320360931,37,1.5870048639231147,35,1.6153167229643046,44,1.6302394228532742,19,1.6583746346815023,21,1.6684340914454938,41,1.6943389584219166,38,1.7253334070084825,26,1.7681602757541746,42,1.7691056732047081,55,1.7985968344673124,47,1.813359184297638,51,1.8279756222173635,1,1.8444455989112432,11,1.853583365330655,3,1.9237734608680046,52,1.9398273587830186,10,1.9519744105156618,34,2.000711228622702,57,2.017761957766621,36,2.0218739204794938,2,2.0599531207260773,54,2.1128158959511816,64,2.262790930937307,65,2.4415281683500507,66,2.4826634846321127
8,33,0.27682986434228907,39,0.294474897031081,53,0.35252821510987914,60,0.3528271697886084,6,0.43895465694082747,43,0.45736789753306173,46,0.45836113805339346,48,0.4778358100942575,62,0.4826935772209068,63,0.4977233554898116,45,0.5346333004864331,7,0.5679672583153856,4,0.5957554559184106,18,0.6560717547375746,22,0.6635025378628256,50,0.7002833959646365,58,0.7452153129611361,23,0.7681892929192706,28,0.8581963258739229,56,0.9100885659503506,31,0.9656968644827766,12,1.004737664632056,16,1.0330385910694617,27,1.0519855154467637,14,1.0579662695009946,30,1.073121612214472,25,1.0791205847172165,15,1.1053582286544557,20,1.1857917947261538,13,1.1929949196298675,61,1.2139653972453375,32,1.2405864126735098,29,1.2501536631198418,49,1.2985579393097466,9,1.3281665726732612,59,1.3323176995947157,40,1.3562120007232061,5,1.3660394396174886,24,1.4060584518417536,44,1.4458454415600976,19,1.5415742205595304,37,1.5571594026448106,17,1.5601380285351025,35,1.5847078739128042,21,1.5876406182727034,42,1.6078280588354399,41,1.6425362327312443,55,1.7062717183523777,26,1.7125271251635301,11,1.714274505100407,1,1.7468507956225192,38,1.7546732225336974,47,1.7831017030245593,10,1.8222308380837522,2,1.8310913675569978,51,1.8485203675183883,52,1.8660646203102282,57,1.8849814065890598,3,1.8971170313035781,36,1.8974032852155716,34,1.90183588528865,54,1.9140241800949203,64,2.0874497996420946,65,2.186656711285835,66,2.2482172605757906
9,24,0.1836551301947924,29,0.21553753751625715,13,0.31242549889178994,40,0.31796057769344377,17,0.4352155427573433,59,0.44075710603159923,20,0.47425323705337796,30,0.4869513582905317,16,0.49593571066914094,25,0.5006528160671084,14,0.5192357398305034,27,0.5292038098683758,37,0.578015824269931,15,0.5824638537939786,31,0.5957973288969871,35,0.6854696045020835,61,0.7063601961057768,55,0.7856489076874886,56,0.8554870512687589,23,0.9211374583750767,51,0.9312157134516227,41,0.9861025804532808,12,1.0099777905824887,26,1.0362059075979384,58,1.0494010137423146,32,1.0617693116301428,22,1.0677973969180772,50,1.0716251060727944,3,1.0744181826197674,28,1.083305747914344,18,1.0908976207491103,38,1.0992374653826906,57,1.1149494512677003,4,1.1165517079428038,1,1.1244670186179087,49,1.125522797867267,5,1.1404311159474614,48,1.1507765618153871,11,1.1525485120062435,33,1.153944450412617,21,1.1621980730567674,44,1.176598358652873,42,1.198500262653316,19,1.2019206368821784,47,1.2026899311300943,45,1.2160954295407072,52,1.2459236141152499,10,1.263531435425593,6,1.2777717661029964,46,1.2979602555067025,43,1.2988666245132818,8,1.3281665726732612,7,1.3398164078640773,2,1.3509172424408162,39,1.358025388597826,36,1.388317956804382,64,1.4004211787642975,34,1.4053431306675337,54,1.4079157936702207,53,1.4484763395849392,60,1.4687126752238995,66,1.6677848830705782,63,1.7223787408507036,62,1.7260147476639414,65,1.7357716612504912
10,11,0.18199646255894358,52,0.19427701672760636,47,0.30671167208829325,1,0.4697101143784955,2,0.4993704272419685,21,0.5169472940168991,26,0.5444645908830232,41,0.6070982558767999,54,0.6249445806288328,19,0.6533590225495969,64,0.6590374831728458,38,0.6620891900301363,66,0.7425489248134993,42,0.744729943850723,3,0.7490027640396899,34,0.7610787763429652,57,0.7920570626923052,36,0.8253730021192871,5,0.8284715222918317,44,0.8478404697523205,51,0.8705099899394412,32,0.9069972502137518,49,0.9815268500135261,65,0.9850515321196655,55,0.9900179941907734,12,1.0585342642844309,37,1.0978113310499977,35,1.126406299828148,17,1.1534928222993144,28,1.1761320733535832,24,1.18385067255998,9,1.263531435425593,40,1.3022643481965726,29,1.3103996402833933,13,1.3385251015720272,25,1.3511149797333473,22,1.3741217806772466,20,1.3745783481363882,15,1.3849233206609866,30,1.396981492102271,14,1.4327458404917284,27,1.4532745121648838,16,1.4609069568050341,31,1.510207676610286,59,1.5678220790709132,33,1.609398501875964,48,1.6207129472906296,61,1.657933779764741,56,1.6885292468960784,23,1.7128555130999015,18,1.7774904301850305,58,1.7950274926089294,4,1.79524219433226,50,1.8158670056927098,8,1.8222308380837522,39,1.8827305259497447,45,1.906863233642961,6,1.9247028633788439,43,1.9295397099924707,7,1.9519744105156618,46,1.9521341535633123,60,2.0155337666940745,53,2.025613775138039,62,2.1387447892412794,63,2.21351673619712
