target,donor_1,score_1,donor_2,score_2,donor_3,score_3,donor_4,score_4,donor_5,score_5,donor_6,score_6,donor_7,score_7,donor_8,score_8,donor_9,score_9,donor_10,score_10,donor_11,score_11,donor_12,score_12,donor_13,score_13,donor_14,score_14,donor_15,score_15,donor_16,score_16,donor_17,score_17,donor_18,score_18,donor_19,score_19,donor_20,score_20,donor_21,score_21,donor_22,score_22,donor_23,score_23,donor_24,score_24,donor_25,score_25,donor_26,score_26,donor_27,score_27,donor_28,score_28,donor_29,score_29,donor_30,score_30,donor_31,score_31,donor_32,score_32,donor_33,score_33,donor_34,score_34,donor_35,score_35,donor_36,score_36,donor_37,score_37,donor_38,score_38,donor_39,score_39,donor_40,score_40,donor_41,score_41,donor_42,score_42,donor_43,score_43,donor_44,score_44,donor_45,score_45,donor_46,score_46,donor_47,score_47,donor_48,score_48,donor_49,score_49,donor_50,score_50,donor_51,score_51,donor_52,score_52,donor_53,score_53,donor_54,score_54,donor_55,score_55,donor_56,score_56,donor_57,score_57,donor_58,score_58,donor_59,score_59,donor_60,score_60,donor_61,score_61,donor_62,score_62,donor_63,score_63,donor_64,score_64,donor_65,score_65
1,26,0.058955114069942714,10,0.07398214934907259,11,0.07979749960728114,3,0.08850934276219843,5,0.09761747607184673,32,0.09773680513013847,28,0.10069458902353037,41,0.10071023731808468,12,0.10183856146597789,21,0.10511327694775807,57,0.10789428380442512,2,0.11669732032586488,38,0.11784630768932221,24,0.11828751860633077,19,0.12050694449251384,25,0.1206976217000451,14,0.12379777726387067,9,0.12422231212384587,13,0.1278956915630518,52,0.12956760750825747,16,0.13055685178759127,64,0.13095823897538125,30,0.13310427708282266,8,0.1332392666465407,27,0.13453772769740796,22,0.13459306399129523,51,0.13466449687623197,31,0.13511815928720886,15,0.1352890444942178,44,0.13839271857890706,20,0.1408534782612267,47,0.14168668442601198,29,0.14262777757202433,23,0.14290799932231996,54,0.1434707167425999,55,0.14668590231429787,17,0.14695892508306416,33,0.14749740274720197,6,0.1475112102592386,49,0.14902727572536137,35,0.1510544132742347,42,0.15330676917442204,37,0.1543572494474153,4,0.15875415391618658,36,0.1601081517790402,18,0.161724242285626,40,0.16232590129272478,34,0.16780350580345677,58,0.17290004725312696,66,0.17979977232440003,43,0.1808040078386942,56,0.1812563503330193,53,0.18549820607053025,59,0.18754350422885763,60,0.18834844057858907,48,0.19332860159913584,65,0.19336420770053755,39,0.20092749559126646,46,0.20314915038288506,45,0.20316811388563494,50,0.20971680039304483,61,0.21273709877274588,7,0.21944698409575691,63,0.22482257850909965,62,0.24338115829384396
2,5,0.07763738712451154,21,0.07922889520574539,10,0.09578102035662363,28,0.0987787647941664,19,0.0995983336263567,54,0.10092786850224549,12,0.10225123645180265,32,0.10271527838926635,11,0.10752521894370322,3,0.11141079209780362,26,0.11203943629870405,66,0.1146571539217612,24,0.11633245991628556,1,0.11669732032586488,34,0.11730568453469539,29,0.11929428254523097,52,0.12039325905395407,49,0.12128232310735251,9,0.12225396779355749,42,0.12499586711580224,25,0.12615372880623982,8,0.12812278175070052,47,0.128564933354538,22,0.13185925936842716,23,0.1359571615907687,13,0.1366051375850675,16,0.13718212119714265,36,0.13730138527725524,44,0.13793862960194145,17,0.14024493363898943,31,0.14130606319444833,27,0.14247967704521552,65,0.1439923005266019,4,0.14567271445255098,14,0.14597189716220246,20,0.14699906070116556,6,0.14780177239017073,15,0.14923895769072942,33,0.15321855606238893,57,0.15712391718878035,18,0.15821831480197987,30,0.1594323851691461,55,0.16328714030615782,48,0.16682374003618036,38,0.16727202790177742,51,0.16746840072195165,40,0.1678983611294798,41,0.1691553711220331,53,0.17178193771942324,58,0.17720889399269613,35,0.1818568328105022,56,0.18291830228819847,39,0.18527004838023825,64,0.18850104439598878,45,0.18885337128338228,50,0.19085739416883932,37,0.19150884030277668,46,0.19170333701290776,43,0.197344416845072,60,0.20284898197738213,59,0.2122500402955204,7,0.22715844589211215,61,0.2277528025802043,63,0.23853490237994449,62,0.26323699653889054
3,26,0.07799135278719589,21,0.08641592463833837,1,0.08850934276219843,19,0.09762633145089743,38,0.10303649867000897,24,0.10956377995129607,51,0.11032917150048567,2,0.11141079209780362,57,0.11252758524391766,15,0.11506303444602697,28,0.12028822206584693,10,0.12178888487167346,4,0.12291286454611441,47,0.12334808042591912,41,0.12378857574150837,32,0.12443202637821926,11,0.12461640707078345,17,0.1262711889083477,52,0.12676647385679168,55,0.12765832729046456,29,0.12799727745052203,5,0.12993736449302662,16,0.13372158854815272,20,0.13731041784551246,25,0.13789120862291723,12,0.1393809389992115,23,0.1395690888515531,49,0.14041286916892468,18,0.14263550070484393,6,0.14320540727840952,9,0.14526191272665442,27,0.14758403424350325,35,0.14868394930304535,34,0.14931688298318785,44,0.15248093341027422,42,0.1538555851195328,14,0.1541336470224208,31,0.156360274811993,13,0.15644723484558026,36,0.16081496300976056,22,0.1618446308798403,54,0.1630139003820116,40,0.1652747032726473,30,0.1674625516023481,37,0.1704690607977585,8,0.1715509749762391,39,0.1727537704112874,53,0.1753350295832122,48,0.1758130570824955,50,0.17912105768287429,33,0.1799223885414531,45,0.18168331820391398,64,0.18460696264377457,43,0.18472251888089203,66,0.1853253893293279,65,0.1853986437904438,58,0.18972649588506396,46,0.19304013556034888,56,0.1975580490399152,7,0.205999829168877,59,0.2183602598284279,60,0.22768816897290395,61,0.24999747153211183,63,0.2646550953731492,62,0.26487941844213975
4,18,0.05117210883708016,23,0.059718089219202616,6,0.06603461982927598,15,0.08333951680750934,28,0.09435244240269855,50,0.09640549842162531,16,0.09755310576543574,25,0.10026844961135177,27,0.10513236951491203,8,0.10689130670379925,45,0.10741330647094263,20,0.10905146072304576,31,0.10925596900133816,29,0.10949946352394209,22,0.1110222642906777,39,0.11266214985909653,24,0.11305191623548314,33,0.11336252772526874,14,0.11689989098695067,48,0.11808584581377031,43,0.12077561911402453,58,0.12245786125559648,12,0.12271418575186847,3,0.12291286454611441,19,0.12343227462178867,46,0.12511932186301228,53,0.12526592813106946,21,0.12695361467803074,32,0.12807681877320856,30,0.13157718559491205,13,0.13383691198938177,17,0.1353960263683304,7,0.1364356846648404,9,0.1427595123986995,49,0.14303285422915044,5,0.1435980213907781,56,0.14535041382231406,2,0.14567271445255098,26,0.15214221170088066,1,0.15875415391618658,60,0.16437194918714088,40,0.16620964215287265,10,0.17243829684332448,11,0.17578556301318327,52,0.18051480849500973,47,0.18101818628817878,38,0.18398554727624697,44,0.18506090190014948,34,0.18829099569412583,42,0.18901355173482504,36,0.19482727961265275,55,0.20202520638722823,35,0.20252066326887955,41,0.20256364269067353,54,0.20264800778837938,51,0.2058124631744822,65,0.21252895977950548,59,0.21414989511829513,37,0.2154377027440236,57,0.2154470822789562,63,0.21610897054878384,61,0.22455248058820954,66,0.22714878711423364,62,0.2283504995743236,64,0.25751476020746705
5,12,0.041955115755073526,32,0.04692187052989519,10,0.0698721307550434,22,0.07237579580408146,28,0.07744091015408669,2,0.07763738712451154,11,0.07835606694022973,44,0.08590430122902888,8,0.0885260975391565,42,0.08977421372242955,33,0.0911890585317241,13,0.09152110211469586,9,0.0950444255669572,1,0.09761747607184673,21,0.1037870806242435,54,0.108079165973896,30,0.10820214904618694,26,0.10879554133218601,31,0.1098128030846792,36,0.11060081907165029,49,0.11597002086242929,14,0.11602809765584828,24,0.11710695619734705,27,0.11743520606330231,16,0.12016606891672026,34,0.12037767442569054,6,0.1226998277475897,23,0.12478592896726463,25,0.12489478271293741,41,0.12564592050937512,29,0.12620876031735626,19,0.12679678706780598,37,0.12760888959875047,3,0.12993736449302662,40,0.1352659276909219,15,0.13557510619827548,20,0.13575841658006552,35,0.13665065853736305,52,0.14058094016566902,4,0.1435980213907781,60,0.1444079500254559,18,0.14634614682454636,57,0.14645642498708358,51,0.14769962266701567,17,0.14784024492185202,47,0.15380381233944132,53,0.154468289349393,55,0.15591076125493292,43,0.15903951460648638,48,0.15944695921988256,65,0.16051173587097117,66,0.1612981384122875,58,0.16327447512949525,38,0.1722046804771984,46,0.17383953519069634,64,0.17533617791869033,45,0.17567589036708514,59,0.17831558648828025,61,0.179399193389492,39,0.17944299989792362,50,0.18215945039313497,56,0.18374009461240695,63,0.18595820256872814,7,0.20193743692208715,62,0.20809456910924218
6,4,0.06603461982927598,8,0.06772882870677799,18,0.06782572249772616,43,0.0756642145954557,23,0.07763710811023658,28,0.07839539239764984,33,0.07996660314427878,22,0.08910344070401237,46,0.09303697859216124,45,0.09412781425534414,53,0.09803990564303892,12,0.09990637781569316,16,0.10030356686121804,31,0.10564753901312977,15,0.10653969461656194,7,0.10875754018123804,32,0.10950501710034843,39,0.11173167146401186,14,0.11328096197303787,27,0.11521828793919275,48,0.11668837827192644,50,0.11901939041560498,60,0.11951106645103338,20,0.1202572439684233,25,0.12125075122831035,5,0.1226998277475897,24,0.12580170365012322,30,0.12688232915964853,21,0.12816109405668483,58,0.1286665828545577,13,0.130392793291535,9,0.1314111005845808,29,0.13283958970726006,26,0.14115746643746502,3,0.14320540727840952,19,0.14678206210740563,1,0.1475112102592386,2,0.14780177239017073,49,0.1490544388951173,10,0.15485481067315426,17,0.1569539568243909,11,0.15696389654309714,40,0.16088076851357838,44,0.1649870829799796,42,0.16526197658748062,36,0.17098663087885002,63,0.17279072089903794,56,0.17284639484151593,35,0.17671964953713185,41,0.1777963864370699,34,0.1792159530781056,54,0.18038139427664204,52,0.18157405523301834,51,0.18239728456623727,47,0.1857757903673523,38,0.18731522270310547,37,0.19324988354434441,55,0.19351742622142787,57,0.19466339947818487,62,0.1992367344570351,59,0.20335535865609997,61,0.21961751096772505,65,0.22011335086142503,66,0.22197389319508512,64,0.23500906409559402
7,6,0.10875754018123804,45,0.1265846267307402,43,0.1279987186570043,46,0.13566627061945888,4,0.1364356846648404,50,0.1459494141896422,39,0.14710359011541882,18,0.14825082536514186,53,0.14983856509354884,62,0.1524300387297215,23,0.15682911897445412,48,0.15827940244584798,28,0.160573871408397,8,0.16132489435754652,22,0.16602488186927208,15,0.17007717465763822,33,0.1709167436940478,31,0.17719327541391028,32,0.17726201789533155,49,0.17981068745325102,12,0.185529960106314,16,0.18588401066221766,58,0.186125102670845,60,0.18640716811854366,25,0.18988341391437552,14,0.19449519464363024,24,0.19917022835913717,30,0.20180826650154976,5,0.20193743692208715,20,0.20398881214540818,44,0.20446937141175442,27,0.20574308266584868,40,0.2058261374129032,3,0.205999829168877,21,0.20989794136766532,42,0.2120609769442646,26,0.2127781038031784,13,0.21285711927341264,29,0.21291580803419988,41,0.2146310798340741,34,0.21613177743173786,56,0.21771578291770322,36,0.2177810933807987,19,0.2178627301386657,9,0.2180069229306934,52,0.21900207217404324,1,0.21944698409575691,38,0.21990966114444185,47,0.2202490594586898,51,0.22037902232473514,2,0.22715844589211215,35,0.22764668907329746,10,0.23303481619843897,17,0.23505722760822495,55,0.2366493018633356,37,0.23790446986599445,54,0.23810411685794935,11,0.23974412229933195,57,0.24143661217891382,63,0.2457137964952545,59,0.261454734093719,65,0.2716182029263951,61,0.27625579901297403,66,0.2817237391069952,64,0.28945321428585497
8,33,0.047961696223177044,22,0.06510104068647928,6,0.06772882870677799,28,0.06900426289385211,12,0.07059692134469712,53,0.08677728376658164,5,0.0885260975391565,60,0.09089883374881061,32,0.09227749936427246,43,0.09836816203543557,31,0.10368040268618262,23,0.10576307179314164,4,0.10689130670379925,14,0.107572009216935,18,0.10821451320389279,16,0.10952084685910038,39,0.11068644873011606,27,0.11216140198835975,30,0.1128903200366987,48,0.11474284850239942,9,0.11544374932994514,46,0.11839797306553337,13,0.12054877892861997,25,0.12234229080342607,15,0.12637549575763968,11,0.12675665238373104,45,0.12752254061352125,2,0.12812278175070052,10,0.12846587119208105,63,0.13061971653258628,1,0.1332392666465407,44,0.13706107596141157,24,0.13757470010774048,20,0.13806514852012225,29,0.13971805113316751,21,0.1412434586871426,42,0.1420127193080159,58,0.1420949575764982,26,0.14279182665571236,50,0.14554559533723,49,0.14873157899304362,36,0.15328710780994945,19,0.158350044496902,54,0.15878278413616498,7,0.16132489435754652,40,0.16284906169308813,41,0.1637276060822567,35,0.1642671176387922,62,0.1655637797019311,17,0.16600708438112216,34,0.16996430064854184,3,0.1715509749762391,56,0.1744792043127366,37,0.17473519680660554,59,0.17848779531847064,52,0.1791377168757058,51,0.18518600140543146,47,0.18787658661736403,57,0.1879665489041599,55,0.19137170808346587,38,0.19767365645982607,65,0.19920950759743516,61,0.20003164352827482,66,0.20432103670391086,64,0.20840412801294148
9,13,0.051032855029200276,24,0.05116792144829121,29,0.05817538632193485,16,0.0716989074258887,14,0.07475790966059714,30,0.07565667206375636,27,0.07586736167636407,12,0.07694131960111379,31,0.08018207108069395,40,0.0830502350906194,20,0.0888783196135236,32,0.08958144546649507,25,0.09077262808535103,15,0.09262055961136942,17,0.09435664647040747,5,0.0950444255669572,28,0.09547367146081165,22,0.10420338352058163,23,0.1124489687302415,26,0.11339550255153777,11,0.1134003571275943,8,0.11544374932994514,10,0.11853186366371989,59,0.1190432794018141,21,0.12186366763754264,2,0.12225396779355749,33,0.12317601716974194,1,0.12422231212384587,37,0.1304150139386675,6,0.1314111005845808,35,0.1334627927722557,42,0.1368957815639738,44,0.13836131803741822,18,0.13961446453223877,49,0.14110017646676504,41,0.14148745328695136,4,0.1427595123986995,19,0.14381959789579676,3,0.14526191272665442,36,0.15508546900779416,51,0.15640620625304233,43,0.15766911884089213,54,0.15822247075625354,52,0.16040916525086782,55,0.16337573195723926,47,0.16403710976528457,34,0.1669408544468292,58,0.16866542804074938,53,0.16898653785317824,50,0.16917150391170646,48,0.16974623890901291,38,0.17129172732453785,61,0.173758943294327,45,0.17451960573965125,57,0.17789763705685355,56,0.1827592178791364,60,0.1830680968155799,46,0.18381843549646776,39,0.1858268988123763,64,0.20538484000972995,66,0.20602846255866902,65,0.21547408005283333,7,0.2180069229306934,63,0.23349109430898038,62,0.26391961305089157
10,11,0.03342019915813376,5,0.0698721307550434,1,0.07398214934907259,32,0.07546647708374343,12,0.0836562848006336,21,0.08645492388786279,2,0.09578102035662363,52,0.09971907412147687,26,0.10198039016249394,28,0.1027395571625664,22,0.10849124935123611,19,0.11277553810526597,13,0.11406420664558417,41,0.11542830943422114,47,0.11635128542481163,9,0.11853186366371989,42,0.11978671884490089,44,0.1198347179334116,3,0.12178888487167346,30,0.12186579646553301,14,0.12426633297635467,33,0.12457426373304151,25,0.1263289085351901,8,0.12846587119208105,54,0.12866674796605157,27,0.1289947831017121,31,0.1297412862309452,24,0.1304823090616345,16,0.13553567976041997,15,0.13915952964598546,36,0.14387286708943128,37,0.14561610773077555,49,0.14927418536991305,20,0.14960157106457941,57,0.1499990591507277,51,0.15045011382636542,29,0.15218744785522126,34,0.15273181567564675,64,0.1532984569753427,23,0.15453903897279792,6,0.15485481067315426,17,0.15499004696325774,35,0.1587259441429602,40,0.16147475413594842,38,0.16232976877987934,66,0.1644400507848,55,0.1687082877227643,18,0.1696384862685424,60,0.17221622182034785,4,0.17243829684332448,43,0.1850373456457866,59,0.18865381701609563,53,0.18887603624735433,58,0.19303075996169833,48,0.1947581004831064,61,0.19728316743897995,65,0.1972947742884577,56,0.20640332392877636,46,0.2080171812873015,45,0.2099133633387801,63,0.2112901143003511,39,0.211904542249368,50,0.2151932102206251,62,0.2272955537590577,7,0.23303481619843897
11,10,0.03342019915813376,12,0.0737500740635673,5,0.07835606694022973,1,0.07979749960728114,32,0.08242642981575707,26,0.09230782553849651,21,0.09729674006619952,22,0.10125027559015667,13,0.10726926092870193,52,0.1074613985645747,2,0.10752521894370322,28,0.10764377504155202,9,0.1134003571275943,33,0.11427394612988459,19,0.11792480538872066,41,0.1184480123170852,30,0.12071715265291996,47,0.1207421018142639,3,0.12461640707078345,27,0.12521158352781186,8,0.12675665238373104,31,0.12723935425449878,14,0.12750155659684706,42,0.12992874944908042,24,0.13053015327949402,16,0.13484303109745682,44,0.1366089668950981,25,0.13934818421308703,15,0.14552099636660815,37,0.14558629051457792,29,0.14646667097147187,20,0.14746125756122866,23,0.14949951698192837,54,0.1502254716752145,51,0.1516245281076627,49,0.15328378592558076,64,0.15418336764014268,36,0.15430638810548933,17,0.15474397895444394,57,0.15583824745213212,6,0.15696389654309714,38,0.15719199823122867,40,0.1626002550973349,35,0.16370378078840167,34,0.16736683435002742,18,0.1732029260052673,4,0.17578556301318327,55,0.1776041939874653,60,0.17971550016569357,66,0.18338640246272303,43,0.1866569260472059,53,0.19199239585525066,61,0.19211548783373414,48,0.1965287549472817,59,0.19804927402873385,58,0.20188180471894754,63,0.20827703443810758,46,0.20998090468506092,45,0.21098090303989941,39,0.21372911365191954,65,0.21521060247754048,56,0.2159729987992026,50,0.216420329912603,62,0.23646715276814687,7,0.23974412229933195
