target,donor_1,score_1,donor_2,score_2,donor_3,score_3,donor_4,score_4,donor_5,score_5,donor_6,score_6,donor_7,score_7,donor_8,score_8,donor_9,score_9,donor_10,score_10,donor_11,score_11,donor_12,score_12,donor_13,score_13,donor_14,score_14,donor_15,score_15,donor_16,score_16,donor_17,score_17,donor_18,score_18,donor_19,score_19,donor_20,score_20,donor_21,score_21,donor_22,score_22,donor_23,score_23,donor_24,score_24,donor_25,score_25,donor_26,score_26,donor_27,score_27,donor_28,score_28,donor_29,score_29,donor_30,score_30,donor_31,score_31,donor_32,score_32,donor_33,score_33,donor_34,score_34,donor_35,score_35,donor_36,score_36,donor_37,score_37,donor_38,score_38,donor_39,score_39,donor_40,score_40,donor_41,score_41,donor_42,score_42,donor_43,score_43,donor_44,score_44,donor_45,score_45,donor_46,score_46,donor_47,score_47,donor_48,score_48,donor_49,score_49,donor_50,score_50,donor_51,score_51,donor_52,score_52,donor_53,score_53,donor_54,score_54,donor_55,score_55,donor_56,score_56,donor_57,score_57,donor_58,score_58,donor_59,score_59,donor_60,score_60,donor_61,score_61,donor_62,score_62,donor_63,score_63,donor_64,score_64,donor_65,score_65
1,56,0.01597546263852857,10,0.022520254514908983,5,0.025798443586928156,37,0.02755711851832548,25,0.028056716504750556,41,0.0356867020149922,8,0.0378224966872235,44,0.03975387537636377,54,0.04137380252530263,11,0.04213244288191063,55,0.042359701798662,35,0.04673242220456168,33,0.04798053280503319,2,0.048614269129012254,34,0.05375534608763232,30,0.057816902636413835,12,0.059408912700215616,46,0.05972360153682341,36,0.059815089377112336,51,0.062276675959738015,60,0.06353011098247052,31,0.06416870379992137,28,0.06511010000697842,53,0.06883523443849904,57,0.06893848223777738,32,0.06895410659386587,52,0.06981892301437037,14,0.06988331376620009,42,0.07114845448851553,7,0.07167225102147465,58,0.07188144707521657,9,0.0720737762263917,22,0.0775951945154926,13,0.07779578031110716,45,0.08173537483358717,6,0.08708143734778745,26,0.08728444104788759,49,0.09135374305507458,43,0.09300361554916085,40,0.09495544042840957,47,0.09843593684180439,16,0.09941636809207607,24,0.10014548964496021,23,0.10276659619837052,50,0.10904452803783415,48,0.11222159138051152,3,0.11444555618567283,4,0.1171081386001788,29,0.12289813407902243,15,0.12552330115227367,27,0.13078231586801184,39,0.13651341470152314,65,0.15135528314833552,21,0.15357445738556114,38,0.1592727398141381,18,0.16477977982978298,66,0.1654496761381247,59,0.1662944172458526,20,0.16872090586104768,62,0.1730203019656589,63,0.18420100208195608,19,0.20164451381569087,61,0.20327656910350417,64,0.20811063805964616,17,0.21882577390223065
2,28,0.026878971018182447,8,0.031027833377164023,14,0.03131509013320103,12,0.03210912545240993,9,0.03521552715669213,31,0.03886198221678944,32,0.04034290942265144,25,0.041806034272268706,10,0.04193087861793335,11,0.04258774436884911,13,0.04281403116209518,7,0.04416666478087532,5,0.04516131987248496,42,0.04844452309195562,1,0.048614269129012254,6,0.04900855314190206,53,0.049720782415000886,56,0.05100284468949511,22,0.05132934234674227,49,0.052450725289090235,26,0.05284575430019982,52,0.05349873902424181,36,0.05489137302495062,43,0.05495667644727228,40,0.05510204843753816,34,0.05554546419934282,33,0.057219274019154005,45,0.05887575893305591,35,0.05890371656991124,47,0.05891213166312324,30,0.06050289312085424,16,0.060529325782629005,24,0.06311497461102973,46,0.06397836367517672,51,0.06466912896360691,41,0.06576578164483177,23,0.06628435925094381,50,0.06985510279289642,48,0.07129062536118264,37,0.07169308806797978,54,0.07621093689163629,3,0.07850288745486005,4,0.08013280239351066,44,0.08252201828170128,29,0.08594340775405253,55,0.08627954000165781,15,0.08630845216283305,60,0.0870124287503745,27,0.09282870982148929,39,0.0996793245214782,58,0.10855292802644712,57,0.10890476452006226,21,0.1141608342649019,38,0.12324110874848575,18,0.12653361978686822,20,0.12983940677969583,19,0.1616393720218774,65,0.17473705597056755,17,0.18018234258611737,66,0.1856458555853851,59,0.19188921167711295,62,0.1946775403771406,63,0.2089701746067202,61,0.22274824188761508,64,0.23377186648187553
3,4,0.020316990201110354,50,0.02292959033939143,47,0.02696910454298794,29,0.030031800075766404,26,0.030334647589257288,39,0.031226383690091113,40,0.033583417807557234,27,0.03429886529552855,23,0.03509011272713394,43,0.035605470412072314,24,0.03682638840622393,16,0.03998518621953395,48,0.040017699544393104,49,0.04079325244602211,6,0.04313495193633825,15,0.04330683274425318,13,0.044666105692600516,45,0.04606436953461926,9,0.04957286178167696,52,0.04964116896508965,22,0.05215818804193044,53,0.0541121520115062,32,0.055449340684177104,38,0.05554789465813625,28,0.057326142088598354,7,0.05950804010200225,31,0.06136985284120597,12,0.06210649848025049,42,0.06348518730911709,14,0.06376798221516176,51,0.06476566406359344,34,0.06895619993708028,21,0.07010317294007648,36,0.07022862785308188,46,0.07126420334170029,30,0.0717939532187084,11,0.07689599066638032,2,0.07850288745486005,33,0.07882445577533388,18,0.08109121809740882,41,0.08216910220240933,20,0.08610497869364636,44,0.09320785188371929,5,0.09343837015607487,25,0.09401451737694286,8,0.09464977917234782,10,0.09576366023347187,35,0.09915130637513785,37,0.11383033206821712,1,0.11444555618567283,19,0.12316625707875625,55,0.12573012384425641,56,0.12627318786423658,17,0.13874807269425196,54,0.14869918062242185,60,0.15989038232962546,57,0.1800201895929275,58,0.1816032365927871,65,0.24194789231442376,66,0.2519094119712191,62,0.25962036854925846,59,0.26188676396553373,63,0.2778618657463519,61,0.2859767114628988,64,0.2994111341936582
4,29,0.014430855584293923,23,0.017733890724673018,3,0.020316990201110354,24,0.022320853891792166,27,0.024015624459091355,15,0.03010079751288588,40,0.03211036705740828,50,0.03224261772337955,39,0.033444363238871906,26,0.03348659489911401,43,0.03369298569355054,48,0.035063777871369675,16,0.03815551461582125,6,0.03900456108343524,49,0.03907170532956769,47,0.043725204314100194,13,0.04466341415661987,45,0.04530292105502635,22,0.04888043581852345,9,0.05009957283385748,52,0.05152319123387716,53,0.052602386414581696,38,0.055381002186640986,32,0.055564818415840614,28,0.05580745986344873,7,0.055891716458043895,31,0.05858406742901387,12,0.06066726620664773,21,0.06136965380319645,14,0.061720258872797036,42,0.06421485376926152,51,0.066983906689518,46,0.06757786658086483,18,0.06762697104861425,36,0.06990503931501318,34,0.06993604901644686,30,0.07056132732260276,33,0.07529341249554099,20,0.07544044608758302,11,0.07878552405483082,2,0.08013280239351066,41,0.08480197150188415,8,0.09118447447384063,25,0.09312307088882116,44,0.0933327239511075,5,0.09421929878210866,10,0.09772202535932002,35,0.09947316919600825,19,0.11383591470266884,37,0.11565317235360024,1,0.1171081386001788,56,0.12486701174827611,17,0.12758575855118826,55,0.12881325697045712,54,0.15007220592686848,60,0.15671326893499762,58,0.1792064277441672,57,0.18398042782374174,65,0.24178156085640046,66,0.2527025743657009,62,0.2570860978702857,59,0.26046210586486995,63,0.2746623862440912,61,0.28411502734062244,64,0.3005637267506607
5,10,0.008926876850632943,25,0.011412474065908862,11,0.023152089050387525,8,0.02344630795638596,1,0.025798443586928156,33,0.02636680686950765,41,0.0289659028162135,35,0.03063819483071916,34,0.03340816185938489,12,0.03580050257235953,56,0.03628138086870477,30,0.03739938222089059,37,0.037898203720157245,36,0.04028908547986346,31,0.04302288856418832,46,0.04305200586044199,28,0.043714775436217546,2,0.04516131987248496,53,0.045571567574714436,32,0.045621780186542206,51,0.046246061677799315,44,0.04842711044598244,52,0.049082739798847475,42,0.04911466236011001,9,0.049462677605888565,7,0.053067140442705094,55,0.05313088173865224,14,0.05445568465848748,22,0.056356164880626614,13,0.05677123479330095,54,0.05816830000016702,45,0.060945236569600374,6,0.06479193664614313,26,0.06671788418787306,43,0.07156191804119323,60,0.0725359739577852,49,0.07302655316706103,40,0.07566880935063583,24,0.07885452547446016,47,0.07942290394438024,23,0.0802374427205812,16,0.08373206470024457,50,0.08891287724791037,58,0.09130525794902929,57,0.09189102956166365,3,0.09343837015607487,4,0.09421929878210866,48,0.09625883359992529,29,0.10018446504220835,15,0.10529896312129494,27,0.10978260149036399,39,0.11352329950137054,21,0.13521562755754252,38,0.13881569736194127,18,0.1435363134998458,20,0.15115623650023183,65,0.1622218107240264,66,0.17546998561054813,59,0.1790258987664439,62,0.1823262396674265,19,0.1827878383010221,63,0.19609529363728107,17,0.20158920241294004,61,0.21107482788724835,64,0.22150834066049316
6,43,0.013924944011393813,13,0.018402250470865744,9,0.020544311530404594,49,0.021441525865656803,40,0.023121749678291406,28,0.023953661425146513,53,0.02411286137486744,22,0.024861755413112776,26,0.024913191119966007,7,0.027636626344403864,42,0.027661377295685605,45,0.02939362366008717,12,0.030145181056967774,32,0.030643869981198342,31,0.03173406650912119,52,0.03298459252273905,47,0.033031723427391475,23,0.0338249646832604,50,0.03406930665332047,14,0.034972580293784965,16,0.03811796411243155,46,0.03811968665209534,24,0.03815259453356789,36,0.03831076758316745,4,0.03900456108343524,34,0.03947765284679832,33,0.041966036308412356,3,0.04313495193633825,51,0.0434259038328892,30,0.044025671891498946,11,0.04717229186902182,48,0.04732110958562915,2,0.04900855314190206,29,0.04969536004629076,27,0.050667476749687475,15,0.05148250078152369,8,0.055016361298066994,41,0.05619819798857195,39,0.05973180475917505,35,0.06289490421796158,25,0.06335948272314973,5,0.06479193664614313,10,0.06889196323182821,44,0.07209432840035129,38,0.08112718058380886,21,0.08303748373323686,37,0.08534948718059512,1,0.08708143734778745,18,0.08859499340480591,56,0.0921410598767182,20,0.09803208399957006,55,0.09930641498172489,54,0.11927913614201618,60,0.12314960508871985,19,0.1338055080324801,17,0.1488641339023771,58,0.15001608195181693,57,0.15381997992564347,65,0.20520360393457004,66,0.21602787064551995,62,0.2201718896096522,59,0.22596587373053365,63,0.23749871390456306,61,0.2485123867200569,64,0.2643855111618784
7,53,0.012406881379452346,31,0.01656126194897886,13,0.018254212588826587,32,0.01889754849757993,9,0.02065611196610456,52,0.022190004723740317,22,0.024595295555262544,30,0.02463958587882676,6,0.027636626344403864,45,0.027823438863609055,34,0.028732491481992542,12,0.03157592660111771,46,0.031757706377984495,26,0.031772811102355025,51,0.0345711030348993,28,0.03551135979892407,43,0.03675486790327675,36,0.04005421357816398,42,0.04052724947755896,33,0.041906073002027394,49,0.043023841674811124,23,0.04353134023107765,2,0.04416666478087532,14,0.044334526954996914,40,0.04574055830795668,11,0.047010709038145214,24,0.04812747413897884,47,0.049375333960335076,41,0.04950251772719175,25,0.052737290811541854,5,0.053067140442705094,16,0.05530838953221337,4,0.055891716458043895,50,0.056117135608832976,10,0.05827153521003356,8,0.05898121719282744,3,0.05950804010200225,29,0.060376155980983795,44,0.06118359114073825,48,0.06719058342274366,35,0.07109864282321715,1,0.07167225102147465,37,0.07299814296913325,15,0.0738020611279653,39,0.07592361632673826,27,0.07710872818808691,56,0.08122997191647296,55,0.08356487710641576,38,0.10540534133592866,54,0.10586592317910853,21,0.10652909477729598,18,0.11150184245391744,60,0.11986374315228142,20,0.12162224669648347,57,0.1365748959959423,58,0.13680604819548678,19,0.1547629467312995,17,0.1720621205794584,65,0.21169954220738127,66,0.22463914501452273,59,0.22771446991438327,62,0.22814625601474817,63,0.24291011651032188,61,0.25787451543059,64,0.2702607092291575
8,11,0.02016445682849424,5,0.02344630795638596,25,0.025416045568954118,10,0.02582034409067907,2,0.031027833377164023,33,0.03221218515384001,36,0.0347484818521439,12,0.03519725241745083,1,0.0378224966872235,14,0.03786489135155125,35,0.038060270346328993,28,0.038999820155953116,56,0.03983929021669748,46,0.04030204630325494,42,0.04063278317512874,30,0.04394550018016123,51,0.04479405787847648,41,0.04630639313485857,22,0.047154534900846326,9,0.04912830113559027,34,0.04916478072204878,53,0.04917239336416496,52,0.049769291474048384,31,0.05013413113537785,32,0.05089447631951624,45,0.05394430202415343,6,0.055016361298066994,37,0.05577743775631166,7,0.05898121719282744,49,0.06019089770556294,13,0.061423981757360094,43,0.063638744304991,44,0.0664996609860439,40,0.06679111513765543,16,0.06701591844744875,26,0.06958315840909095,60,0.0701191047702088,54,0.07012393833166168,55,0.07069930036352018,47,0.07341498375091877,24,0.07606197884501475,48,0.0767537941192745,23,0.07842126024555156,50,0.08154040294255521,4,0.09118447447384063,15,0.09362115341318275,3,0.09464977917234782,58,0.09896682759398293,57,0.10121062533989796,27,0.10210299683752856,29,0.10238153807932852,39,0.11212983677310222,21,0.12383385789636589,38,0.13225694279609665,18,0.13372248484267296,20,0.1368151052786698,65,0.15509851876017058,66,0.16718078027758662,62,0.17081115159505886,19,0.1713754294445841,59,0.17276146539964532,63,0.18653726850876065,17,0.1881991562469139,61,0.20127797804097763,64,0.21382023115159488
9,13,0.015975205288724682,32,0.016230579675184376,31,0.016693410430450792,12,0.01831976540857239,28,0.019238558115608657,6,0.020544311530404594,7,0.02065611196610456,26,0.025298828005749553,42,0.027067911538959707,14,0.0281440050594148,53,0.028826386818019613,22,0.029755789874415395,43,0.029919557543046656,11,0.03339533416954192,49,0.03358838794872035,24,0.03369469418695564,40,0.034292149781797884,2,0.03521552715669213,23,0.03536090207941353,52,0.03567436500465705,45,0.03625600075765505,36,0.03665587769874211,33,0.03738824997811203,34,0.03772558135186029,30,0.03829881418809103,47,0.03954551375958182,16,0.04420042638008305,46,0.04550790914301837,51,0.046555430844468955,25,0.04761490985084755,50,0.04867217311778694,8,0.04912830113559027,5,0.049462677605888565,41,0.049541822728831314,3,0.04957286178167696,4,0.05009957283385748,10,0.052533738916599834,29,0.05575699642987376,35,0.0574529399636719,48,0.060213806199896594,15,0.0629420617552167,27,0.06486056775727658,37,0.06873359751647969,39,0.07052979694662033,1,0.0720737762263917,44,0.07281842955444157,56,0.08056946178219743,55,0.08257754507298101,38,0.09526528546943498,21,0.09598267961678068,18,0.1035219266490291,54,0.10469279610402749,20,0.11031703303920914,60,0.11413342789988075,58,0.136761259120551,57,0.1385629414242137,19,0.14387367259605433,17,0.15977513867184137,65,0.20011646452461115,66,0.21210059793451727,59,0.2139915367883328,62,0.21790244565744102,63,0.23383968974885014,61,0.24422121097894467,64,0.2580344877716748
10,5,0.008926876850632943,25,0.010046676585961246,1,0.022520254514908983,11,0.02374622243266114,41,0.025439265347745862,8,0.02582034409067907,33,0.03014178115736367,35,0.032021344169276135,37,0.03347506569589042,56,0.03402136341374829,34,0.03758882604691365,12,0.040062055942453954,30,0.04142917933346672,2,0.04193087861793335,36,0.04299113421379096,46,0.04478647751263196,44,0.0447917260253445,28,0.046908479855407983,51,0.047397657178601414,31,0.04824573663782287,55,0.048513188867000456,53,0.04986231856168151,52,0.049874112991489736,32,0.05041505382646571,9,0.052533738916599834,42,0.05280929941443667,14,0.05572904153341181,54,0.05599414674384854,7,0.05827153521003356,22,0.060386717243172905,13,0.060781160625010724,45,0.06419788939771762,6,0.06889196323182821,60,0.06899299191389141,26,0.06906479946500012,43,0.07483015579639522,49,0.07606430955241314,40,0.07857969750188248,47,0.0802952981755896,24,0.08262309311778901,23,0.08408298736898435,16,0.08466146565086456,57,0.08939786404236989,58,0.08949351001079142,50,0.09164549606505792,3,0.09576366023347187,48,0.0966547747191266,4,0.09772202535932002,29,0.1036465002642755,15,0.10839378968948195,27,0.11279894312199157,39,0.11752726749407667,21,0.1365072341641662,38,0.141665963241758,18,0.14679063127017775,20,0.1528862789219155,65,0.15751682102781459,66,0.16972002103186987,59,0.1740106687057602,62,0.1768380660105036,19,0.18399073692688112,63,0.1911465421201808,17,0.20371658392274636,61,0.20600452072764897,64,0.21486102250321698
