target,donor,geo_distance
1,2,0.0035457350606044984
1,52,0.0052862447086755755
1,3,0.0069830024029782015
1,4,0.010328781852667824
1,53,0.010602323702377748
1,5,0.013751634044359959
1,54,0.014652903525581532
1,60,0.015491405470453655
1,59,0.01555648428951741
1,6,0.015570267752675202
1,8,0.017976344253768595
1,7,0.018102246407559384
1,55,0.01901854358251449
1,58,0.019327225612849892
1,57,0.02532946625098923
1,9,0.025772361406165272
1,10,0.026129062372193902
1,56,0.026202404650146224
1,11,0.03134584685233432
1,61,0.033047160997580455
1,12,0.03489882327371505
1,62,0.0355329776404962
1,63,0.03830436047997674
1,13,0.03833680180257598
1,45,0.04032432162554005
1,66,0.040506207240372516
1,65,0.04116501478877431
1,64,0.04258122561516994
1,23,0.043423070119004675
1,24,0.046975121340982154
1,26,0.047069657358961015
1,46,0.04815235780073496
1,34,0.04847299664194489
1,25,0.051371005931848304
1,14,0.05160860654435456
1,27,0.05459590911011551
1,47,0.05577950962297889
1,35,0.05849103041398739
1,28,0.058511414126818005
1,48,0.06201680735453896
1,29,0.06255215299963697
1,36,0.0631584959570761
1,15,0.06371058867605912
1,31,0.06445227924169938
1,30,0.06661365968365646
1,16,0.06707854834781381
1,37,0.06758200469718247
1,32,0.07022035001970577
1,17,0.07302767300825078
1,49,0.07412777375727665
1,33,0.07755871507806197
1,18,0.07797669039456594
1,50,0.07855081817174148
1,19,0.08155278172790914
1,51,0.08444395849254106
1,20,0.08579870048619613
1,21,0.09103997721270579
1,22,0.09550811051717017
1,38,0.1070809860785751
1,39,0.11147808092827034
1,43,0.11332418596861835
1,44,0.11487356767237616
1,41,0.11666787357233349
1,42,0.11684516014794957
1,40,0.11837876181984666
2,1,0.0035457350606044984
2,3,0.004245767134452818
2,4,0.00736660183259555
2,52,0.00879036119849468
2,5,0.010929237276681292
2,6,0.01228846786422123
2,53,0.014083814414071257
2,7,0.014633415941604246
2,8,0.01471732265903005
2,54,0.018139024319130274
2,60,0.01818253323632331
2,59,0.018669075469610233
2,9,0.022379643783804908
2,55,0.022504050593615446
2,10,0.022648501140031304
2,58,0.022789500179907433
2,11,0.0278491876982076
2,57,0.02886326503637457
2,56,0.02972473873543727
2,12,0.03139353816392788
2,13,0.034842394060827585
2,61,0.036046745749373874
2,45,0.037287213177710096
2,62,0.03869626350334103
2,23,0.03992586192632536
2,63,0.04159182746381799
2,66,0.043426677078956984
2,24,0.043493026315950895
2,26,0.0435496221390036
2,65,0.04422148005845132
2,34,0.0449710436046352
2,46,0.04515786509845212
2,64,0.04577657850309484
2,25,0.047886488886636845
2,14,0.04819580534538247
2,27,0.051073591136320096
2,47,0.052766206513070416
2,28,0.05498534031903411
2,35,0.05503568343765705
2,48,0.058988971392032234
2,29,0.05903295389399037
2,36,0.059691508136082455
2,15,0.060291988098668585
2,31,0.06091211458232256
2,30,0.06311131673392655
2,16,0.06366598934980902
2,37,0.06409983219517812
2,32,0.06669250126850838
2,17,0.06963868593045103
2,49,0.07104145032901561
2,33,0.07405749402025429
2,18,0.074579269139956
2,50,0.0755041334689035
2,19,0.07815729071276711
2,51,0.08144431620714854
2,20,0.08240241986738006
2,21,0.08765222415575083
2,22,0.09213746880916575
2,38,0.10362172605954793
2,39,0.10800708611424527
2,43,0.1097984823979366
2,44,0.11133933938092137
2,41,0.11317498191937118
2,42,0.11332971758157692
2,40,0.11490616863824146
3,4,0.003353547542528716
3,2,0.004245767134452818
3,5,0.006795192042172211
3,1,0.0069830024029782015
3,6,0.008754824981117518
3,8,0.011107937915292857
3,7,0.011678643738037354
3,52,0.012126715819215027
3,53,0.017413265243773204
3,60,0.01869071489938254
3,9,0.019044485445661164
3,10,0.019646500398035307
3,59,0.019934586850246013
3,54,0.021421207102542035
3,11,0.024899641742201842
3,58,0.0249229527522322
3,55,0.025764268795368552
3,12,0.028478787858509696
3,57,0.03136115192399666
3,13,0.0318499218280045
3,56,0.03278183102650006
3,45,0.033342015612737044
3,23,0.03693411701936302
3,61,0.04000976596482413
3,24,0.04041605210259905
3,26,0.04069895721575674
3,46,0.04117550231885465
3,62,0.042515282035522226
3,34,0.043158464748528816
3,25,0.04481335586507665
3,14,0.04485848837054144
3,63,0.04525466822085872
3,66,0.04744557618535161
3,65,0.04814149525222502
3,27,0.048225736127092966
3,47,0.048800559195361685
3,64,0.049559371453742236
3,28,0.05216329579848271
3,35,0.053468426523416636
3,48,0.05503645642562757
3,29,0.056148516711396736
3,15,0.056961604765403163
3,36,0.058048792012582
3,31,0.05824966485268391
3,30,0.06011205188554125
3,16,0.060315946331712327
3,37,0.06235931137280141
3,32,0.06387172000885837
3,17,0.06622226685609611
3,49,0.0671448172556155
3,33,0.07104283531785598
3,18,0.07118266479593188
3,50,0.07156920795600577
3,19,0.07475436258172495
3,51,0.07746860097129679
3,20,0.0790001774843576
3,21,0.08422682009247409
3,22,0.08866998171376828
3,38,0.10195412394856819
3,39,0.10627365610013614
3,43,0.10767887930996499
3,44,0.10912234613396103
3,42,0.11130080655844322
3,41,0.11130861422140698
3,40,0.11315894038280845
4,3,0.003353547542528716
4,5,0.003580251590321542
4,6,0.005520705742022385
4,2,0.00736660183259555
4,8,0.007807105241381052
4,7,0.008733194579304777
4,1,0.010328781852667824
4,52,0.015477009419135268
4,9,0.015801231421949304
4,10,0.016549398733790882
4,53,0.020755451377650218
4,60,0.021083572014485664
4,11,0.021796733274736323
4,59,0.02266844506025952
4,54,0.02475323633891132
4,12,0.025377466706706486
4,58,0.02795524395261114
4,13,0.028704120782389316
4,55,0.02908838542373924
4,45,0.030006480966617816
4,23,0.033777958628667844
4,57,0.034490897337123655
4,56,0.03606122059623061
4,24,0.03722115279730057
4,26,0.03759578415048678
4,46,0.037851902921913975
4,34,0.04059222044788877
4,14,0.04157386096395181
4,25,0.041614921319762146
4,61,0.04332748869436128
4,27,0.04511284958988951
4,47,0.04547257511709662
4,62,0.045861239871595315
4,63,0.04860815538343341
4,28,0.04905685913875854
4,66,0.050744996083949105
4,35,0.0510175540912145
4,65,0.051471433824986944
4,48,0.05170530801039674
4,64,0.05290926370164309
4,29,0.05301263463977236
4,15,0.053673561414256776
4,31,0.055206408331732584
4,36,0.055542358835396946
4,30,0.05692897194267604
4,16,0.057021751450214105
4,37,0.059787756283791016
4,32,0.06075588971819927
4,17,0.06291090204058433
4,49,0.06380228046684532
4,33,0.06784871240576343
4,18,0.0678748601095427
4,50,0.06823457300291394
4,19,0.07144456518252448
4,51,0.07414539300516247
4,20,0.07568993120990394
4,21,0.08091098193354218
4,22,0.08534541815469646
4,38,0.09938292622477965
4,39,0.10366308875125221
4,43,0.10486249466272482
4,44,0.10625671197519705
4,42,0.10852927585015937
4,41,0.10862283749953318
4,40,0.11053711943306639
5,4,0.003580251590321542
5,6,0.0037542122715690514
5,8,0.005295519694987441
5,3,0.006795192042172211
5,7,0.007381602122168278
5,2,0.010929237276681292
5,9,0.013220541811136141
5,1,0.013751634044359959
5,10,0.014382859443796282
5,52,0.01877854692062199
5,11,0.019524804736539586
5,60,0.022872696879904706
5,12,0.023070982857260277
5,53,0.023993587638783866
5,59,0.024856874497410246
5,13,0.02626423377066226
5,45,0.02659713242907961
5,54,0.027938492404566122
5,58,0.03052052506101428
5,23,0.03128559465456903
5,55,0.03223560920612491
5,46,0.034405577834124526
5,24,0.03461778443069397
5,26,0.03521236134910573
5,57,0.03718998324670237
5,14,0.03869780298389042
5,25,0.038989784736261315
5,56,0.03906562467899375
5,34,0.03918646922803841
5,47,0.04203575956123543
5,27,0.04268368812427057
5,28,0.04663259343474261
5,61,0.04679625427200348
5,48,0.04827617965187385
5,62,0.04925543402397347
5,35,0.04974437053577017
5,29,0.050514637730067855
5,15,0.05076924898558177
5,63,0.05191585509158069
5,31,0.052903340457479575
5,16,0.05409323961254305
5,36,0.05416942335349343
5,66,0.054239469391670944
5,30,0.05431392938998244
5,65,0.05491556288931226
5,64,0.05627933635003175
5,32,0.05829052603125137
5,37,0.05830225660298232
5,17,0.059915167561227764
5,49,0.06041146755674782
5,50,0.06481402325546527
5,18,0.06488973602797282
5,33,0.06519444352005775
5,19,0.06845003407515583
5,51,0.07069454393218758
5,20,0.07269171041769477
5,21,0.07788893888094761
5,22,0.08228551700907027
5,38,0.09783908206054469
5,39,0.10205498315016272
5,43,0.10292103522390356
5,44,0.10423007499704676
5,42,0.10666034477672567
5,41,0.10689289323898009
5,40,0.1089064413700585
6,8,0.0024328132069684908
6,7,0.0036327127453185683
6,5,0.0037542122715690514
6,4,0.005520705742022385
6,3,0.008754824981117518
6,9,0.010293785093929282
6,10,0.01106364870013512
6,2,0.01228846786422123
6,1,0.015570267752675202
6,11,0.016298746509471253
6,12,0.01987705978710133
6,52,0.020815359460023705
6,13,0.02318753069604437
6,45,0.025145036923615808
6,53,0.02612527559663243
6,60,0.026290329396567082
6,59,0.02806725317091076
6,23,0.0282589041268412
6,54,0.030151261633636395
6,24,0.031701341310581846
6,26,0.03208941920633654
6,46,0.03304876946877154
6,58,0.03346260930919757
6,55,0.03450297384125026
6,34,0.0355403000237759
6,25,0.03609570315924046
6,14,0.03610501544882655
6,27,0.03960197000718528
6,57,0.04001133168803554
6,47,0.04061873176122074
6,56,0.04153631319436042
6,28,0.043547393072949914
6,35,0.046068711961373576
6,48,0.0468177109495969
6,29,0.04749559114044168
6,15,0.04820866152238624
6,61,0.04829306274083262
6,31,0.049720975491033985
6,36,0.05052148867452349
6,62,0.050984439605530577
6,30,0.05140854111487707
6,16,0.051565144880626544
6,63,0.05385574323960256
6,37,0.05469008474833443
6,32,0.055242778584897435
6,66,0.055621727516232365
6,65,0.056485582194839776
6,17,0.05748350942566058
6,64,0.058064698567890594
6,49,0.05880938649654495
6,33,0.062329436973632364
6,18,0.06244018457692133
6,50,0.06330301444465346
6,19,0.06601352217121886
6,51,0.0692858427097485
6,20,0.07025956275447497
6,21,0.07549204139364628
6,22,0.07994787496794399
6,38,0.09425489590408559
6,39,0.0984949865300768
6,43,0.0995137201584787
6,44,0.1008706011377448
6,42,0.10321573634330186
6,41,0.10338323698637034
6,40,0.10535591823381354
7,8,0.0031879679625115417
7,6,0.0036327127453185683
7,5,0.007381602122168278
7,9,0.007896144530718812
7,10,0.008029030853720844
7,4,0.008733194579304777
7,3,0.011678643738037354
7,11,0.013263345199835571
7,2,0.014633415941604246
7,12,0.016832852607030126
7,1,0.018102246407559384
7,13,0.020245233054968767
7,52,0.023388250428794326
7,45,0.023947003310644158
7,23,0.025333450526132492
7,53,0.02870097179347761
7,24,0.028873213364639605
7,26,0.029042320118923017
7,60,0.029760419729062945
7,59,0.03140130872193068
7,46,0.0318340041743103
7,34,0.03197061842457861
7,54,0.03275394355997447
7,25,0.033269586508551656
7,14,0.03359087012046583
7,27,0.03657192418454357
7,58,0.036593755080477804
7,55,0.03711992221166417
7,47,0.039275908567212074
7,28,0.04050405606997904
7,35,0.04247299906870252
7,57,0.04303344405877824
7,56,0.04428216287005412
7,29,0.044509398511887385
7,48,0.0453954439393427
7,15,0.045677163314396
7,31,0.046571109482704
7,36,0.046945958447559735
7,30,0.04852653647696285
7,16,0.04905630116967652
7,61,0.05020316349593913
7,37,0.05114215452921399
7,32,0.052215341307799604
7,62,0.05308423706713693
7,17,0.055055174143762445
7,63,0.056126203610969407
7,49,0.057195724973200614
7,66,0.05740405037974237
7,65,0.058429812557974206
7,33,0.05946879712555156
7,18,0.05998377246297539
7,64,0.060191202728388765
7,50,0.061765495824529774
7,19,0.06356329447534957
7,20,0.06780665623757012
7,51,0.06783300885181202
7,21,0.07306574342255066
7,22,0.07757298838874269
7,38,0.09072338939082915
7,39,0.09498238396381725
7,43,0.09612930752091171
7,44,0.09752762300897118
7,42,0.09979858428354585
7,41,0.09991127606476664
7,40,0.10185027994561431
8,6,0.0024328132069684908
8,7,0.0031879679625115417
8,5,0.005295519694987441
8,4,0.007807105241381052
8,9,0.008032660835613534
8,10,0.009087413939069804
8,3,0.011107937915292857
8,11,0.014242397861315327
8,2,0.01471732265903005
8,12,0.017799481027265893
8,1,0.017976344253768595
8,13,0.02103593614175507
8,45,0.022733538753348527
8,52,0.0232063874235091
8,23,0.026083222322596553
8,60,0.02816571483843438
8,53,0.02850955099786739
8,24,0.02947379199780712
8,26,0.02997161754226816
8,59,0.03009824921984672
8,46,0.03064084551868635
8,54,0.03252654646592531
8,14,0.033766761291246145
8,25,0.03386078020512814
8,34,0.03400863220360386
8,58,0.03563708199109461
8,55,0.0368719820287709
8,27,0.03746237843130088
8,47,0.03820171031786401
8,28,0.041411003359614465
8,57,0.042237980701378255
8,56,0.04386790812610063
8,48,0.04439594346446531
8,35,0.04460229519699631
8,29,0.04532403679991442
8,15,0.045866757159842876
8,31,0.04764649476467284
8,36,0.0489852083107748
8,30,0.04918391338740747
8,16,0.04921615976587363
8,61,0.05072577985334481
8,37,0.05307952019225491
8,32,0.05308811897063218
8,62,0.053413555308835244
8,17,0.0551145845464701
8,63,0.05627236930510394
8,49,0.05637891170641729
8,66,0.058052020720471116
8,65,0.05891834266380894
8,18,0.06007582187619239
8,33,0.06009006581565709
8,64,0.06049193537026241
8,50,0.0608760316081789
8,19,0.06364701596092306
8,51,0.06686451390760274
8,20,0.06789275185356679
8,21,0.07311889534750915
8,22,0.07756445010602471
8,38,0.09259007035989335
8,39,0.09679210778829025
8,43,0.09762551563684567
8,44,0.09893693928563786
8,42,0.10136635563997551
8,41,0.10161051586248344
8,40,0.10363876896089606
9,10,0.0025038819860368836
9,11,0.006492719136078509
9,7,0.007896144530718812
9,8,0.008032660835613534
9,12,0.009932888189242832
9,6,0.010293785093929282
9,13,0.013046371977680195
9,5,0.013220541811136141
9,4,0.015801231421949304
9,45,0.016547067669227693
9,23,0.018067466117029262
9,3,0.019044485445661164
9,24,0.021441131860282018
9,26,0.021997946235046553
9,2,0.022379643783804908
9,46,0.02431850138968276
9,1,0.025772361406165272
9,25,0.02582867640820953
9,14,0.02583830344662747
9,34,0.02717058235997164
9,27,0.02946314646961522
9,52,0.03104593378995065
9,47,0.03162313806202667
9,28,0.03341205696885486
9,60,0.036030212929984214
9,53,0.036363708591946445
9,29,0.03730322347706696
9,48,0.03767651423632502
9,35,0.037819238989963845
9,15,0.037941910834590295
9,59,0.0380774135807568
9,31,0.03969838414570547
9,54,0.040402635905346505
9,30,0.0411513207564472
9,16,0.041307066284111744
9,36,0.04200733253195211
9,58,0.04366854721398454
9,55,0.04476159852429315
9,32,0.04507424614766174
9,37,0.045915810411883175
9,17,0.04726111573429053
9,49,0.04937306784249891
9,57,0.050268092174758326
9,56,0.051825359562476775
9,33,0.05205946231848735
9,18,0.05220607255444523
9,50,0.05396861378412457
9,19,0.05578298409811006
9,61,0.058097016562384675
9,20,0.0600286590545716
9,51,0.060068270322692026
9,62,0.06095515597921146
9,63,0.06395279392559797
9,21,0.0652745731949279
9,66,0.06529904324299098
9,65,0.06632230465273357
9,64,0.06805832545530341
9,22,0.06975811472832391
9,38,0.08523633578732726
9,39,0.08936294673968626
9,43,0.08988592029778637
9,44,0.09113246873035975
9,42,0.09368393577049375
9,41,0.09405351793409965
9,40,0.09617834708212654
10,9,0.0025038819860368836
10,11,0.005253619873953546
10,7,0.008029030853720844
10,12,0.008834214044271234
10,8,0.009087413939069804
10,6,0.01106364870013512
10,13,0.012218616442952865
10,5,0.014382859443796282
10,4,0.016549398733790882
10,23,0.01730693456074758
10,45,0.017957834848611322
10,3,0.019646500398035307
10,24,0.020846501467872227
10,26,0.02105589940040551
10,2,0.022648501140031304
10,34,0.025219148712436763
10,25,0.025241969019868433
10,46,0.025536255654265382
10,14,0.025677099719399753
10,1,0.026129062372193902
10,27,0.02858044264685202
10,52,0.031414469642029645
10,28,0.03252011914015691
10,47,0.03264213310875988
10,35,0.035863624437304155
10,29,0.036502967027078725
10,53,0.03672489841456342
10,60,0.03724907327410984
10,15,0.03773185939998183
10,48,0.03858043286434199
