metric,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
marginal_energy,1,2017,"26,41,38,11,10,3,57",7,3.45496668936476,2.07180011749862,338.743,4.44578392833494,2.95228709541868,15.2857142857143
marginal_energy,1,2018,"26,41,38,11,10,3,57",7,3.67670985678204,2.24494131278645,341.793,4.5521053162803,2.97871042193004,15.2857142857143
marginal_energy,2,2018,"54,34,66,10,36,42,21",7,6.18801525832626,4.65420622853844,342.332,6.44820724624512,4.84020519893682,15.5714285714286
marginal_energy,2,2017,"54,34,66,10,36,42,21",7,4.82887788857295,3.48831456090903,364.612,5.18175939581306,3.7224269414527,15.5714285714286
marginal_energy,3,2018,"57,51,1,26,55,41,38",7,4.21940950733207,2.86866885578744,324.252,4.82027927692106,3.37301719836283,15
marginal_energy,3,2017,"57,51,1,26,55,41,38",7,3.74161928780798,2.54239843696934,331.958,4.4027507253626,3.09510873360512,15
marginal_energy,4,2018,"18,50,45,6,23,7,58",7,4.01997391559336,2.78329547396168,341.69,4.54406551207985,3.21353679624469,15.8571428571429
marginal_energy,4,2017,"18,50,45,6,23,7,58",7,3.50352817157769,2.36850363296832,339.954,4.07963852327593,2.82550333534957,15.8571428571429
marginal_energy,5,2018,"44,32,49,42,12,36,21",7,3.70734524268198,2.38636033563036,333.394,4.18563639030032,2.80199485288636,15.1428571428571
marginal_energy,5,2017,"44,32,49,42,12,36,21",7,3.21474703362266,1.9881825385395,338.818,3.80853869274008,2.51204996299039,15.1428571428571
marginal_energy,6,2018,"43,45,46,7,4,53,18",7,2.97385809277878,1.87593861555158,334.387,3.50380841390584,2.3126647773004,15.2857142857143
marginal_energy,6,2017,"43,45,46,7,4,53,18",7,2.59743028563588,1.46699759111334,334.49,3.13301287915764,1.97607087750608,15.2857142857143
marginal_energy,7,2018,"45,6,43,46,4,18,50",7,3.50735614561726,2.07491378669176,334.106999999999,3.91198249913083,2.48057028331341,15.4285714285714
marginal_energy,7,2017,"45,6,43,46,4,18,50",7,3.29527738800278,1.95594916532029,327.852,3.6915755539636,2.35981633617901,15.4285714285714
marginal_energy,8,2018,"33,39,53,60,6,43,46",7,3.37899183730384,2.19098642359448,356.241,3.93109097379844,2.62606264787389,15.8571428571429
marginal_energy,8,2017,"33,39,53,60,6,43,46",7,3.03263062218684,2.12102014626469,368.070999999999,3.5962494264997,2.53993164899607,15.8571428571429
marginal_energy,9,2018,"24,29,13,40,17,59,20",7,3.47765073082736,2.21256975507194,342.396,4.49643993753333,3.08142448234157,15.7142857142857
marginal_energy,9,2017,"24,29,13,40,17,59,20",7,2.81193157490188,1.69123458401088,341.443,3.99508795041247,2.73529003653296,15.7142857142857
marginal_energy,10,2018,"11,52,47,1,2,21,26",7,3.07724398957471,1.83087700314237,321.972,3.5887281412296,2.28343639877687,15
marginal_energy,10,2017,"11,52,47,1,2,21,26",7,3.71471804063567,2.10788329677496,329.590999999999,4.17197011175139,2.56447059939282,15
marginal_energy,11,2018,"10,52,47,26,1,21,41",7,4.21463524073943,2.89629594944965,331.559,4.54093506654408,3.1593456735244,15
marginal_energy,11,2017,"10,52,47,26,1,21,41",7,4.64205549863245,3.11054338931886,331.529,4.9063865428098,3.31747135036584,15
marginal_energy,12,2018,"28,32,49,5,22,44,42",7,4.83343282257903,3.15087775565317,355.426999999999,5.08493143967422,3.35220951383765,16.1428571428571
marginal_energy,12,2017,"28,32,49,5,22,44,42",7,4.03239187716826,2.90167015417869,357.537,4.29687992573258,3.06293257323797,16.1428571428571
marginal_energy,13,2018,"29,30,20,27,25,16,14",7,2.94720663388797,1.90864761085737,375.52,3.40507781066901,2.29888808602534,16.7142857142857
marginal_energy,13,2017,"29,30,20,27,25,16,14",7,2.61411883456412,1.58157617371242,361.648999999999,3.15514627828404,2.03509806842739,16.7142857142857
marginal_energy,14,2017,"30,16,25,27,31,20,13",7,3.00700775182004,2.03107434360386,351.276999999999,3.49007300750673,2.39671539117952,16.4285714285714
marginal_energy,14,2018,"30,16,25,27,31,20,13",7,3.2329248765763,2.25435369584331,361.131,3.67727877549004,2.6048898705318,16.4285714285714
marginal_energy,15,2017,"20,30,25,16,14,27,31",7,2.39574217245353,1.52255911638375,340.089999999999,3.03619177690187,2.00669801650918,16.5714285714286
marginal_energy,15,2018,"20,30,25,16,14,27,31",7,2.25965094569615,1.41053816363926,345.141,3.03250568146922,2.02048042258246,16.5714285714286
