metric,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
mean_ks,1,2018,"26,10,11,3,5,32,28",7,3.43378763772351,1.92723022010131,353.771,3.74656609557524,2.1922240338636,15.8571428571429
mean_ks,1,2017,"26,10,11,3,5,32,28",7,3.32526974245987,1.96876250794885,402.055,3.62045352630987,2.21831356098694,15.8571428571429
mean_ks,2,2018,"5,21,10,28,19,54,12",7,5.47930052619182,3.86670890525171,351.269,5.78592194448603,4.12983438002738,15.8571428571429
mean_ks,2,2017,"5,21,10,28,19,54,12",7,4.32382637224361,2.88334966712521,414.149,4.78012588528402,3.2639273449539,15.8571428571429
mean_ks,3,2018,"26,21,1,19,38,24,51",7,3.34903006287335,2.05953473693761,314.979,3.64698734608594,2.28320825186143,14.5714285714286
mean_ks,3,2017,"26,21,1,19,38,24,51",7,3.05019401212532,1.85431517036914,360.409,3.30149973413834,2.07378699189744,14.5714285714286
mean_ks,4,2018,"18,23,6,15,28,50,16",7,3.57960162116966,2.32936466184618,371.151,3.76707842562353,2.5098168753852,17
mean_ks,4,2017,"18,23,6,15,28,50,16",7,3.11918089472296,1.93627262580846,418.345,3.31251153325435,2.12351972182393,17
mean_ks,5,2018,"12,32,10,22,28,2,11",7,3.15950360361926,1.85717333319839,355.801,3.48390091097503,2.13839967983674,16.1428571428571
mean_ks,5,2017,"12,32,10,22,28,2,11",7,2.9645265695542,1.69615981843626,404.318,3.29988772831678,2.0002960820148,16.1428571428571
mean_ks,6,2018,"4,8,18,43,23,28,33",7,3.13294321803952,2.03352969414957,359.843,3.63310134577403,2.42104028567171,16.4285714285714
mean_ks,6,2017,"4,8,18,43,23,28,33",7,2.64253625390154,1.51475076209315,404.373,3.16202655266755,1.98232264429246,16.4285714285714
mean_ks,7,2018,"6,45,43,46,4,50,39",7,3.54230218569258,2.14669534465792,325.801,3.94038057751282,2.53414040288554,15
mean_ks,7,2017,"6,45,43,46,4,50,39",7,3.32955771105776,2.03050331129772,357.283999999999,3.72261179247329,2.41738620210833,15
mean_ks,8,2018,"33,22,6,28,12,53,5",7,2.75992909507887,1.56436297182063,382.632000000001,3.04398264869113,1.82253580419543,16.7142857142857
mean_ks,9,2018,"13,24,29,16,14,30,27",7,3.20832967469913,1.97338394029157,366.56,3.3524374587484,2.11990804704286,16.7142857142857
mean_ks,8,2017,"33,22,6,28,12,53,5",7,2.26616179416044,1.38770760034859,436.309000000001,2.61538270897363,1.68046244084633,16.7142857142857
mean_ks,10,2018,"11,5,1,32,12,21,2",7,3.08547087008034,1.79407582284416,329.704000000001,3.53379345729599,2.17370528420365,15.2857142857143
mean_ks,9,2017,"13,24,29,16,14,30,27",7,2.60587110826227,1.49440960216926,411.621,2.77369430728482,1.66743724711264,16.7142857142857
mean_ks,11,2018,"10,12,5,1,32,26,21",7,3.43467044017208,2.20494475682114,335.474,3.68872752864374,2.39505210114506,15
mean_ks,10,2017,"11,5,1,32,12,21,2",7,3.76556861235958,2.11826291334844,378.584,4.12462627428096,2.47417772404512,15.2857142857143
mean_ks,12,2018,"32,5,28,22,33,8,13",7,3.71551283216065,2.1249861600463,370.802,3.9403300679875,2.30633948886765,16.7142857142857
mean_ks,11,2017,"10,12,5,1,32,26,21",7,3.83929844951609,2.38351121228431,376.357000000001,4.03282128176372,2.54138248062018,15
mean_ks,13,2018,"30,9,27,14,16,29,31",7,2.7140217993711,1.71820330492517,372.603999999999,2.94215093047008,1.92458831669541,16.5714285714286
