method,target,year,donors_used,n_models,rmse,runtime_sec,fit_time_sec,pred_time_sec
G_SVR,1,2017,"2,52,3,4,53,5,54",7,3.96683394573129,401.045,353.141,47.904
G_SVR,2,2017,"1,3,4,52,5,6,53",7,3.98000623871687,402.503,351.735,50.768
G_SVR,3,2017,"4,2,5,1,6,8,7",7,3.7222796674304,356.465,316.23,40.2349999999999
G_SVR,4,2017,"3,5,6,2,8,7,1",7,3.33674251868754,366.24,325.559,40.681
G_SVR,5,2017,"4,6,8,3,7,2,9",7,3.18512615541197,356.169,315.629,40.5400000000002
G_SVR,6,2017,"8,7,5,4,3,9,10",7,2.85381263208591,360.470999999999,319.485999999999,40.9850000000001
G_SVR,7,2017,"8,6,5,9,10,4,3",7,3.09441309331726,358.400000000001,319.731000000001,38.6689999999999
G_SVR,8,2017,"6,7,5,4,9,10,3",7,2.40867118486643,362.764000000001,318.281000000001,44.4830000000002
G_SVR,9,2017,"10,11,7,8,12,6,13",7,2.97613481400577,339.876,302.266,37.6100000000001
G_SVR,10,2017,"9,11,7,12,8,6,13",7,4.39428823303725,308.936999999999,275.301,33.636
G_SVR,11,2017,"12,10,9,13,23,7,8",7,3.73638559730521,336.446000000001,298.366,38.0800000000004
G_SVR,12,2017,"13,11,23,10,9,24,26",7,3.09900399957076,346.527,305.525999999999,41.0010000000002
G_SVR,13,2017,"12,23,11,24,26,10,9",7,2.70202942881379,346.781,307.151,39.6300000000001
G_SVR,14,2017,"25,24,26,27,23,28,15",7,3.03158823976169,319.308,282.714,36.5940000000001
G_SVR,15,2017,"16,30,29,17,28,14,27",7,3.48487159457338,295.829999999999,265.561999999999,30.268
G_SVR,16,2017,"15,17,30,29,18,32,33",7,2.56789618248235,319.395,281.213000000001,38.1819999999998
G_SVR,17,2017,"18,16,19,15,33,30,20",7,5.159260673832,283.3,252.816,30.4840000000004
G_SVR,18,2017,"19,17,20,33,16,21,15",7,2.43397486280495,279.892999999998,249.655999999998,30.2370000000001
G_SVR,19,2017,"18,20,17,21,33,22,16",7,2.40310241302192,320.095,284.23,35.865
G_SVR,20,2017,"19,21,18,22,17,33,16",7,2.8951748454687,328.696,289.047,39.649
G_SVR,21,2017,"22,20,19,18,33,17,50",7,3.43171650371195,319.251,283.544,35.707
G_SVR,22,2017,"21,20,19,18,33,17,51",7,4.27228453956215,281.68,249.11,32.57
G_SVR,23,2017,"24,26,13,25,12,14,27",7,3.26120756543617,321.503,284.637,36.866
G_SVR,24,2017,"26,23,25,14,27,13,12",7,2.8351919999932,319.968,282.718,37.25
G_SVR,25,2017,"24,14,27,26,23,28,29",7,6.36201841083181,317.213,281.067,36.146
G_SVR,26,2017,"24,23,25,27,14,13,28",7,2.82906302182042,330.805,293.636,37.1690000000001
G_SVR,27,2017,"28,25,26,29,24,14,31",7,2.87746533717802,347.508,307.757,39.751
G_SVR,28,2017,"27,29,31,25,30,15,14",7,3.13536281998392,322.945,284.151,38.7940000000003
G_SVR,29,2017,"28,31,30,32,27,15,16",7,2.47765153366506,305.277,273.215,32.0620000000004
G_SVR,30,2017,"29,32,31,15,16,28,33",7,2.60181234843081,327.725999999999,292.330999999999,35.395
G_SVR,31,2017,"29,32,28,30,27,15,16",7,2.83874537220689,299.324,266.636,32.6880000000001
G_SVR,32,2017,"30,31,29,33,28,16,15",7,2.83922934202718,317.761999999999,283.194999999999,34.567
G_SVR,33,2017,"32,18,30,19,17,16,20",7,3.06340904231303,297.735,262.179,35.556
G_SVR,34,2017,"35,26,27,36,23,24,25",7,3.15702098345234,323.577,287.090000000001,36.4869999999996
G_SVR,35,2017,"36,37,34,31,28,27,29",7,3.27526107451881,320.383000000001,285.686000000001,34.6970000000001
G_SVR,36,2017,"37,35,34,31,28,29,27",7,3.11140835414295,323.785000000001,289.244000000001,34.5410000000002
G_SVR,37,2017,"36,35,31,34,32,28,29",7,4.86699587466072,328.719999999999,291.673999999999,37.0460000000003
G_SVR,38,2017,"39,41,40,43,42,44,37",7,5.42344886967397,300.289,267.157,33.1319999999996
G_SVR,39,2017,"38,41,40,42,43,44,37",7,3.62784074508786,302.182999999999,268.404,33.7789999999995
G_SVR,40,2017,"41,39,42,38,43,44,37",7,4.60947186804162,294.244,261.666999999999,32.5770000000002
G_SVR,41,2017,"40,42,39,43,44,38,37",7,3.80347164990165,310.012000000001,272.928000000001,37.0839999999998
G_SVR,42,2017,"43,41,44,40,39,38,33",7,2.52401813402601,297.314,259.477000000001,37.8369999999995
G_SVR,43,2017,"44,42,41,39,40,38,33",7,2.38325758702209,302.544999999999,265.260999999999,37.2840000000006
G_SVR,44,2017,"43,42,41,39,40,38,33",7,5.03430823978337,293.661999999998,259.072999999999,34.5889999999999
G_SVR,45,2017,"46,13,12,23,47,11,24",7,3.06077640408672,343.39,303.993,39.397
G_SVR,46,2017,"47,45,48,14,24,23,25",7,3.87167126171369,356.161,315.401,40.76
G_SVR,47,2017,"48,46,14,45,15,49,25",7,2.96564887307415,368.609,324.99,43.6189999999999
G_SVR,48,2017,"47,49,46,50,15,16,14",7,3.3937233626236,327.083,286.39,40.693
G_SVR,49,2017,"50,51,48,17,18,16,19",7,5.46559981360128,294.318,262.023,32.2950000000001
G_SVR,50,2017,"49,51,48,17,18,19,20",7,2.93358332950762,315.953,279.784,36.1690000000001
G_SVR,51,2017,"50,49,19,48,18,20,17",7,3.22955649301821,322.188000000002,286.027000000002,36.1610000000001
G_SVR,52,2017,"1,53,2,54,3,59,60",7,3.55368045826392,426.683000000001,378.341,48.3420000000001
G_SVR,53,2017,"54,52,55,1,59,58,60",7,5.66897001233372,439.962000000001,387.855000000001,52.107
G_SVR,54,2017,"53,55,58,52,59,56,57",7,3.89226900259889,477.455,419.791,57.6639999999998
G_SVR,55,2017,"54,56,58,53,57,59,52",7,3.829519077733,447.675,394.806,52.8689999999997
G_SVR,56,2017,"57,55,58,54,62,63,61",7,4.09286572100299,406.646999999999,361.569999999999,45.0770000000002
G_SVR,57,2017,"56,58,55,54,59,53,60",7,3.11687564666116,443.637999999998,389.940999999998,53.6970000000001
G_SVR,58,2017,"59,57,55,54,60,56,53",7,4.83891517541324,424.177000000002,373.634000000002,50.5429999999997
G_SVR,59,2017,"60,58,53,54,52,55,57",7,5.29418471403696,400.682000000002,350.305000000002,50.3769999999995
G_SVR,60,2017,"59,58,53,52,54,1,55",7,3.1600643617781,455.539999999999,400.404,55.1359999999995
G_SVR,61,2017,"62,66,65,63,64,56,55",7,3.83355169136633,475.038999999999,417.538999999999,57.5
G_SVR,62,2017,"61,63,65,64,66,56,55",7,3.51004834970456,479.182999999999,422.880999999999,56.3020000000006
G_SVR,63,2017,"62,64,65,61,66,56,57",7,5.146768937811,456.354,404.799,51.5550000000003
G_SVR,64,2017,"65,63,66,62,61,56,55",7,4.20054940360109,458.226000000001,405.203,53.0230000000001
G_SVR,65,2017,"66,64,62,63,61,56,55",7,4.16326490323422,466.292000000003,412.623000000003,53.6689999999999
G_SVR,66,2017,"65,64,62,61,63,56,55",7,4.60460939047064,456.837999999998,401.922999999999,54.9149999999991
