method,target,year,donors_used,n_models,rmse,runtime_sec,fit_time_sec,pred_time_sec
G_SVR,38,2017,"37,36,33,32,31,35,30",7,3.71140616026266,353.298,319.672,33.626
G_SVR,38,2018,"37,36,33,32,31,35,30",7,4.81339798078692,356.317,321.749,34.568
G_SVR,39,2017,"37,33,36,32,31,35,21",7,2.74474634181133,342.607,308.637,33.9699999999999
G_SVR,39,2018,"37,33,36,32,31,35,21",7,4.88298834307068,341.743,307.064,34.6790000000001
G_SVR,40,2017,"37,33,36,32,21,31,22",7,3.4282532253404,364.795,327.473,37.3219999999999
G_SVR,40,2018,"37,33,36,32,21,31,22",7,4.96504968660702,364.095,327.124,36.971
G_SVR,41,2017,"37,33,32,36,21,22,20",7,5.31165707315779,336.878999999999,299.456999999999,37.422
G_SVR,41,2018,"37,33,32,36,21,22,20",7,5.35665975381327,330.451000000001,293.480000000001,36.971
G_SVR,42,2017,"33,37,21,22,32,20,19",7,2.74046073021287,331.162,291.216,39.9459999999999
G_SVR,42,2018,"33,37,21,22,32,20,19",7,3.67892673426235,332.390000000001,292.843000000001,39.547
G_SVR,43,2017,"33,21,37,22,32,20,19",7,3.02870485156989,330.587,291.782,38.8050000000003
G_SVR,43,2018,"33,21,37,22,32,20,19",7,4.99598591579377,330.118999999999,291.656999999999,38.462
G_SVR,44,2017,"33,21,22,20,32,37,19",7,5.85521680364893,328.922,291.782,37.1400000000003
G_SVR,44,2018,"33,21,22,20,32,37,19",7,6.632624089255,325.759000000001,291.812000000001,33.9470000000001
