"method","target","year","donors_used","n_models","rmse","runtime_sec"
"G_XGBoost",38,2017,"37,36,33,32,31,35,30",7,4.06996718073404,0.49
"G_XGBoost",38,2018,"37,36,33,32,31,35,30",7,4.97404487230277,0.47
"G_XGBoost",39,2017,"37,33,36,32,31,35,21",7,2.67812200552928,0.44
"G_XGBoost",39,2018,"37,33,36,32,31,35,21",7,4.72076693661775,0.44
"G_XGBoost",40,2017,"37,33,36,32,21,31,22",7,3.42688582634198,0.42
"G_XGBoost",40,2018,"37,33,36,32,21,31,22",7,4.92462828502012,0.42
"G_XGBoost",41,2017,"37,33,32,36,21,22,20",7,4.90987289603911,0.48
"G_XGBoost",41,2018,"37,33,32,36,21,22,20",7,4.84590367678545,0.47
"G_XGBoost",42,2017,"33,37,21,22,32,20,19",7,2.97493561011827,0.429999999999999
"G_XGBoost",42,2018,"33,37,21,22,32,20,19",7,3.80951053864379,0.409999999999999
"G_XGBoost",43,2017,"33,21,37,22,32,20,19",7,3.35707942429604,0.339999999999999
"G_XGBoost",43,2018,"33,21,37,22,32,20,19",7,5.10338345082709,0.319999999999999
"G_XGBoost",44,2017,"33,21,22,20,32,37,19",7,5.87627948717751,0.52
"G_XGBoost",44,2018,"33,21,22,20,32,37,19",7,6.59589686665452,0.52
