method,target,year,donors_used,n_models,rmse,runtime_sec,fit_time_sec,pred_time_sec
G_random_forest,1,2017,"2,52,3,4,53,5,54",1,3.58539731698219,14.654,13.449,1.205
G_random_forest,1,2018,"2,52,3,4,53,5,54",1,3.69766222826621,14.383,13.231,1.152
G_random_forest,2,2017,"1,3,4,52,5,6,53",1,3.96330857623369,14.935,13.69,1.245
G_random_forest,2,2018,"1,3,4,52,5,6,53",1,5.00944664284558,14.488,13.317,1.171
G_random_forest,3,2017,"4,2,5,1,6,8,7",1,3.07444801097967,15.489,14.338,1.15100000000001
G_random_forest,3,2018,"4,2,5,1,6,8,7",1,3.39620815456605,14.817,13.692,1.125
G_random_forest,4,2017,"3,5,6,2,8,7,1",1,3.13625334430836,15.29,14.098,1.19199999999999
G_random_forest,4,2018,"3,5,6,2,8,7,1",1,3.49570492068442,14.603,13.533,1.06999999999999
G_random_forest,5,2017,"4,6,8,3,7,2,9",1,3.22617934610911,14.944,13.829,1.11500000000001
G_random_forest,5,2018,"4,6,8,3,7,2,9",1,3.27759792313244,14.728,13.644,1.084
G_random_forest,6,2017,"8,7,5,4,3,9,10",1,2.84692666916637,14.181,13.112,1.06899999999999
G_random_forest,6,2018,"8,7,5,4,3,9,10",1,3.37065965384309,14.226,13.132,1.09400000000002
G_random_forest,7,2017,"8,6,5,9,10,4,3",1,3.06689195803817,15.122,14.039,1.08300000000003
G_random_forest,7,2018,"8,6,5,9,10,4,3",1,3.32771590839905,14.961,13.888,1.07300000000001
G_random_forest,8,2017,"6,7,5,4,9,10,3",1,2.31699014725332,14.603,13.406,1.197
G_random_forest,8,2018,"6,7,5,4,9,10,3",1,2.80303381323992,14.441,13.254,1.18699999999998
G_random_forest,9,2017,"10,11,7,8,12,6,13",1,2.66066243616028,15.142,13.981,1.16099999999994
G_random_forest,9,2018,"10,11,7,8,12,6,13",1,3.3249940413754,14.36,13.218,1.142
G_random_forest,10,2017,"9,11,7,12,8,6,13",1,4.14267563851349,14.885,13.725,1.16000000000003
G_random_forest,10,2018,"9,11,7,12,8,6,13",1,3.02026355144888,14.958,13.827,1.13099999999997
G_random_forest,11,2017,"12,10,9,13,23,7,8",1,3.27068900354173,14.603,13.314,1.28899999999999
G_random_forest,11,2018,"12,10,9,13,23,7,8",1,2.90893429397896,14.363,13.297,1.06600000000003
G_random_forest,12,2017,"13,11,23,10,9,24,26",1,3.20223135835937,14.335,13.207,1.12799999999999
G_random_forest,12,2018,"13,11,23,10,9,24,26",1,4.11009456645876,14.5,13.459,1.041
G_random_forest,13,2017,"12,23,11,24,26,10,9",1,2.49533321212136,14.61,13.5,1.11000000000001
G_random_forest,13,2018,"12,23,11,24,26,10,9",1,2.67441163034023,14.109,12.979,1.13
G_random_forest,14,2017,"25,24,26,27,23,28,15",1,3.18771849942591,14.078,12.958,1.12
