method,target,year,donors_used,n_models,rmse,runtime_sec,fit_time_sec,pred_time_sec
G_random_forest,38,2017,"37,36,33,32,31,35,30",1,4.39564785374635,14.593,13.579,1.014
G_random_forest,38,2018,"37,36,33,32,31,35,30",1,5.30242118683085,14.035,13.098,0.937000000000001
G_random_forest,39,2017,"37,33,36,32,31,35,21",1,2.52529261116489,13.472,12.447,1.025
G_random_forest,39,2018,"37,33,36,32,31,35,21",1,4.49264336886602,13.299,12.332,0.966999999999999
G_random_forest,40,2017,"37,33,36,32,21,31,22",1,3.53209723064328,13.71,12.708,1.002
G_random_forest,40,2018,"37,33,36,32,21,31,22",1,5.00307711136804,14.341,13.359,0.981999999999999
G_random_forest,41,2017,"37,33,32,36,21,22,20",1,4.73148555576981,13.936,12.913,1.023
G_random_forest,41,2018,"37,33,32,36,21,22,20",1,4.67155509989681,14.517,13.538,0.978999999999999
G_random_forest,42,2017,"33,37,21,22,32,20,19",1,2.90765114010726,14.173,13.097,1.07599999999999
G_random_forest,42,2018,"33,37,21,22,32,20,19",1,3.73335481963932,14.253,13.201,1.05200000000002
G_random_forest,43,2017,"33,21,37,22,32,20,19",1,3.44067019220929,13.913,12.863,1.05000000000001
G_random_forest,43,2018,"33,21,37,22,32,20,19",1,5.11879073560731,14.213,13.168,1.04499999999999
G_random_forest,44,2017,"33,21,22,20,32,37,19",1,5.74127173384707,14.274,13.225,1.04899999999998
G_random_forest,44,2018,"33,21,22,20,32,37,19",1,6.4325112501573,14.068,13.137,0.931000000000012
