Turbine,Year,Method,RMSE,NLPD,FitTimeSec,PredTimeSec,NumPred
1,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.4080376625061035,,201.13,87.14,42610
1,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.519026517868042,,201.13,91.72,42868
2,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.8249645233154297,,201.98,93.95,45176
2,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,5.081459999084473,,201.98,89.93,42394
3,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.1894752979278564,,192.58,86.62,42178
3,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.1766905784606934,,192.58,85.99,41309
4,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.9223906993865967,,202.93,84.97,41504
4,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.1048622131347656,,202.93,82.71,41512
5,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.859921932220459,,198.27,87.84,42549
5,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.207552433013916,,198.27,86.71,42115
6,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.8263134956359863,,199.1,88.29,41864
6,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.347855567932129,,199.1,86.07,41895
7,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.083282232284546,,200.25,83.46,40002
7,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.1842360496520996,,200.25,88.04,41761
8,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.437570095062256,,196.74,91.8,44868
8,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.8147919178009033,,196.74,91.01,43578
9,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.6550066471099854,,200.81,85.65,41837
9,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.884838104248047,,200.81,87.81,42073
10,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.115068435668945,,196.71,85.55,42065
10,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.067084789276123,,196.71,83.08,41209
11,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.047196388244629,,192.14,88.2,42237
11,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.663447856903076,,192.14,83.84,42633
12,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.5590171813964844,,194.33,86.35,42478
12,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.174894094467163,,194.33,84.76,42252
13,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.4322736263275146,,201.13,85.01,41210
13,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.586745023727417,,201.13,85.83,43341
14,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.766487121582031,,191.81,81.14,41037
14,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.948300361633301,,191.81,88.81,42679
15,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,6.356550693511963,,189.95,77.25,38766
15,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,6.151049613952637,,189.95,82.37,40132
16,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.819767951965332,,191.35,88.41,42492
16,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.6143670082092285,,191.35,79.52,39849
17,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,5.869807720184326,,191.03,78.93,38770
17,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,5.203249454498291,,191.03,78.52,38593
18,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.2667431831359863,,197.96,76.61,37612
18,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,1.9808539152145386,,197.96,78.24,37439
19,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.2638747692108154,,194.69,76.92,37855
19,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.1932249069213867,,194.69,76.94,37589
20,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.096740245819092,,196.38,82.01,40206
20,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.075716018676758,,196.38,75.28,38259
21,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.4834628105163574,,191.27,74.86,36542
21,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.795839786529541,,191.27,72.83,36222
22,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.7348339557647705,,195.26,74.58,37716
22,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.1513407230377197,,195.26,79.24,38098
23,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.0101559162139893,,190.71,82.37,41326
23,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.7317774295806885,,190.71,83.19,40847
24,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.696377992630005,,190.87,88.18,42010
24,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.618703603744507,,190.87,83.01,41757
25,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.696203231811523,,190.14,86.45,41186
25,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.947599172592163,,190.14,88.97,40611
26,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.7144107818603516,,192.66,30560.23,40890
26,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.389294624328613,,192.66,87.78,40305
27,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.905235767364502,,204.01,87.36,41138
27,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.7859508991241455,,204.01,92.35,40369
28,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.7819666862487793,,199.3,89.77,43936
28,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.8890652656555176,,199.3,89.06,42803
29,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.909531593322754,,197.01,84.54,41211
29,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.9882044792175293,,197.01,84.7,41088
30,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.87275505065918,,193.35,86.82,41455
30,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,4.6638383865356445,,193.35,79.16,40731
31,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.1261863708496094,,192.2,86.88,42172
31,2018,STGNN_LOO_FixedKNN7_Train2017_PredictALL,3.1081745624542236,,192.2,84.38,41649
32,2017,STGNN_LOO_FixedKNN7_Train2017_PredictALL,2.481518268585205,,190.15,86.62,42011
