"method","target","year","rmse","runtime_sec"
"P_XGBoost",38,2017,3.94397097483457,3.21
"P_XGBoost",38,2018,4.90300989300864,3.22
"P_XGBoost",39,2017,2.96392366549986,3.21
"P_XGBoost",39,2018,5.03066733501746,3.22
"P_XGBoost",40,2017,3.66979239301721,3.21
"P_XGBoost",40,2018,5.05406517432253,3.23
"P_XGBoost",41,2017,4.82025951799209,3.21
"P_XGBoost",41,2018,4.80609105069152,3.21
"P_XGBoost",42,2017,2.75723218401837,3.21
"P_XGBoost",42,2018,3.45601048306237,3.21
"P_XGBoost",43,2017,2.75434036205277,3.21
"P_XGBoost",43,2018,4.33761951211797,3.21
"P_XGBoost",44,2017,5.31131137586119,3.23
"P_XGBoost",44,2018,5.98604620868418,3.21
