method,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae
TF_ANN,1,2017,"56,10,5,37,25,41,8",7,4.448452852709757,3.039001933150675,205.13927555084229,4.9839479334942185,3.4781419575732397
TF_ANN,1,2018,"56,10,5,37,25,41,8",7,4.769846315752525,3.432393269455713,205.0724811553955,5.2526911740786435,3.7682207649144024
TF_ANN,2,2017,"28,8,14,12,9,31,32",7,3.451019349957437,2.070560652447959,192.25468850135803,3.6790173516668383,2.2837957966832296
TF_ANN,2,2018,"28,8,14,12,9,31,32",7,4.305954603127571,2.882336155759356,192.25010538101196,4.461308323915134,3.014601293910244
TF_ANN,3,2017,"4,50,47,29,26,39,40",7,3.1556829602298717,1.9654117863672251,171.79964137077332,3.6272115368919167,2.395410888144267
TF_ANN,3,2018,"4,50,47,29,26,39,40",7,3.2442137992359728,2.0039694168872764,171.7826886177063,3.7674470832292677,2.4992332972387006
TF_ANN,4,2017,"29,23,3,24,27,15,40",7,2.9696434304684636,1.763091736431734,192.56241059303284,3.2449330866574337,2.036387164057835
TF_ANN,4,2018,"29,23,3,24,27,15,40",7,3.222420365740648,1.9806025550631847,192.56201601028442,3.5065610993780503,2.2658379049503248
TF_ANN,5,2017,"10,25,11,8,1,33,41",7,2.9938898192446026,1.736934790041683,199.46359062194824,3.984311098233452,2.57015117364606
TF_ANN,5,2018,"10,25,11,8,1,33,41",7,3.3914270439050433,2.0478612472580844,199.4633183479309,4.24106138841402,2.7745870460157644
TF_ANN,6,2017,"43,13,9,49,40,28,53",7,2.6563057122188023,1.5175317835692705,179.2672312259674,3.267968835497343,2.045150419084126
TF_ANN,6,2018,"43,13,9,49,40,28,53",7,2.982405420020347,1.8852294640548246,179.26651430130005,3.6234420897117894,2.3819655364325434
TF_ANN,7,2017,"53,31,13,32,9,52,22",7,3.0814524696844408,1.7670862395407538,182.33491277694702,3.366492354149983,2.031876307555909
TF_ANN,7,2018,"53,31,13,32,9,52,22",7,3.3250134067496524,1.9044397314130392,182.33774638175964,3.6550370054212906,2.206992693915537
TF_ANN,8,2017,"11,5,25,10,2,33,36",7,2.5596612700231636,1.6920916211413493,191.47640442848206,3.263323070916143,2.2800462010448217
TF_ANN,8,2018,"11,5,25,10,2,33,36",7,2.905370877556771,1.726283556125001,191.4730966091156,3.564715355207888,2.3350594570081777
TF_ANN,9,2017,"13,32,31,12,28,6,7",7,2.826054308992123,1.7167256713450167,189.04960298538208,3.0353712776619806,1.8961914660297778
TF_ANN,9,2018,"13,32,31,12,28,6,7",7,3.4852642263406906,2.2388132722753395,189.04977130889893,3.663403684161626,2.3810450236574363
TF_ANN,10,2017,"5,25,1,11,41,8,33",7,3.8672178050640516,2.3734012245542773,197.73147654533386,4.723911100283433,3.061253436085782
TF_ANN,10,2018,"5,25,1,11,41,8,33",7,3.408073738692878,2.1728510322114407,197.72996592521667,4.215035965997837,2.834671422373051
TF_ANN,11,2017,"12,8,33,36,5,10,25",7,4.000723983670564,2.630418769845132,201.24546194076538,4.319504064612663,2.881079568090708
TF_ANN,11,2018,"12,8,33,36,5,10,25",7,3.4727363820247565,2.342091085252079,201.24692296981812,3.8941230976718555,2.693525467393696
TF_ANN,12,2017,"28,9,32,11,42,31,53",7,2.8900668591186216,1.7432131063514285,193.64134883880615,3.2583497199420477,2.0914264873014363
TF_ANN,12,2018,"28,9,32,11,42,31,53",7,3.7116806534997964,2.1104556238952474,193.64092469215393,3.993062131823574,2.4226565176503487
TF_ANN,13,2017,"9,26,7,6,32,31,53",7,2.525109082306869,1.5100863262181576,180.80331540107727,2.761249715152986,1.7228280664499536
TF_ANN,13,2018,"9,26,7,6,32,31,53",7,2.8324238711214855,1.8013967884996558,180.80631041526794,3.0570719741895096,2.0055776851894285
TF_ANN,14,2017,"28,9,2,16,12,13,40",7,2.78220560208261,1.8047716457127425,186.68968439102173,3.039769057447194,2.023122232064979
TF_ANN,14,2018,"28,9,2,16,12,13,40",7,2.943551001313063,1.9911596687394504,186.6913161277771,3.1979202400189632,2.2139659148119
TF_ANN,15,2017,"27,29,4,48,24,16,40",7,2.37931355600457,1.4790112381897362,188.54777669906616,2.7458899808438813,1.7840849800091036
TF_ANN,15,2018,"27,29,4,48,24,16,40",7,2.27781438037611,1.4066230249411469,188.5494019985199,2.671848559661666,1.7633159143440216
TF_ANN,16,2017,"48,40,24,23,15,14,43",7,2.076100699864748,1.3888586016181252,180.14882469177246,2.855422958156243,1.9976013405429949
TF_ANN,16,2018,"48,40,24,23,15,14,43",7,2.121938898456143,1.3019342383805823,180.14454698562622,2.931449924593235,2.0008566201757154
TF_ANN,17,2017,"19,20,21,18,15,27,48",7,5.177686779500044,3.867125455969006,190.0919291973114,5.284615722722845,3.9306435056449294
TF_ANN,17,2018,"19,20,21,18,15,27,48",7,4.515683836306853,3.1828289515146055,190.08199763298035,4.666853936665391,3.309555520986461
TF_ANN,18,2017,"20,21,15,19,27,38,4",7,2.270017296921465,1.4165827429217566,203.57776069641113,2.7743806357877765,1.8460659098604253
TF_ANN,18,2018,"20,21,15,19,27,38,4",7,2.1642354524456824,1.4136716223943078,203.57653141021729,2.706788834143383,1.8770598697332022
TF_ANN,19,2017,"17,20,18,21,15,27,38",7,2.3662386247233025,1.4883091064720377,195.50004959106445,3.1216071562794108,2.098082296880969
TF_ANN,19,2018,"17,20,18,21,15,27,38",7,2.24888680406937,1.5061803949411718,195.4990165233612,3.1066869156874284,2.1609834295748795
TF_ANN,20,2017,"18,21,19,15,27,38,48",7,2.3835745289289827,1.551024883091887,201.97918248176575,2.7369613936378996,1.8539650291887095
TF_ANN,20,2018,"18,21,19,15,27,38,48",7,1.8873834530509048,1.23120023102227,201.9763286113739,2.3965806871691777,1.6536472740049344
TF_ANN,21,2017,"18,20,15,27,19,38,29",7,3.0395048060814984,2.022128623887986,197.52785778045654,3.2398172713668516,2.184150938505769
TF_ANN,21,2018,"18,20,15,27,19,38,29",7,3.523668216765636,2.491574366723427,197.52646374702454,3.7146627329641366,2.641831819833807
TF_ANN,22,2017,"45,52,53,46,43,51,13",7,3.7697321759403253,2.4225769090993317,168.2409017086029,4.231024699665815,2.781560560844443
TF_ANN,22,2018,"45,52,53,46,43,51,13",7,2.8896801440701356,2.0090782396227587,168.2414469718933,3.4906019993767634,2.4567754638744295
TF_ANN,23,2017,"24,4,16,29,40,26,48",7,2.944437801602954,1.8485275087835393,188.022887468338,3.1879533604866785,2.0551446267036946
TF_ANN,23,2018,"24,4,16,29,40,26,48",7,2.7783204478938957,1.722348915134969,187.98333501815796,3.097615617845495,1.9982664544936137
TF_ANN,24,2017,"23,4,16,29,15,40,27",7,2.6663462006170477,1.5316586738445093,211.97098922729492,2.9612102806102945,1.8279831435717064
TF_ANN,24,2018,"23,4,16,29,15,40,27",7,2.62949938875221,1.5277209885212748,211.97750067710876,2.9544836373001884,1.8597127957880242
TF_ANN,25,2017,"10,5,33,11,8,1,41",7,5.181643420449423,3.201572317779429,222.217627286911,5.529568275600684,3.578136690919659
TF_ANN,25,2018,"10,5,33,11,8,1,41",7,3.120250489113033,1.8936839040258497,222.2162582874298,3.80376795987762,2.500065575938108
TF_ANN,26,2017,"13,43,49,6,9,40,53",7,2.976642606226954,1.8827451603047052,200.03213500976562,3.688261514205322,2.4300937938723086
TF_ANN,26,2018,"13,43,49,6,9,40,53",7,3.583966020708428,2.2993621974372163,200.0310378074646,4.206880638848584,2.7944953408482904
TF_ANN,27,2017,"15,29,4,50,39,24,3",7,2.3341697553827925,1.4454161595215127,205.82793188095093,2.609626569728644,1.737654584619649
TF_ANN,27,2018,"15,29,4,50,39,24,3",7,2.319515970608907,1.353990363298146,205.82679533958435,2.65644709670564,1.7254022040253487
TF_ANN,28,2017,"12,9,14,6,32,2,31",7,2.571519208985842,1.6410269726311404,200.2552855014801,2.7975185352897776,1.8562061544948587
TF_ANN,28,2018,"12,9,14,6,32,2,31",7,3.1811271238166894,1.7584936954018793,200.2527940273285,3.3774392295177447,1.9631994892759803
TF_ANN,29,2017,"4,27,23,15,24,3,26",7,2.4424651284716004,1.529368107344142,207.2993984222412,2.6731069275827246,1.7482402176179195
TF_ANN,29,2018,"4,27,23,15,24,3,26",7,2.758513659312534,1.6377188989794174,207.2985486984253,2.9805921578955568,1.8631001063955372
TF_ANN,30,2017,"34,7,33,53,32,31,36",7,2.4985284030623363,1.5226684926670488,200.3798611164093,2.7945025631950995,1.7905523200205695
TF_ANN,30,2018,"34,7,33,53,32,31,36",7,2.764085507605921,1.8017130669506467,200.37904691696167,3.0781358823760385,2.059169967207171
TF_ANN,31,2017,"32,7,9,53,13,12,52",7,2.7896851360811197,1.6564548634761105,216.9078586101532,3.188337490034298,1.9909285633288092
TF_ANN,31,2018,"32,7,9,53,13,12,52",7,3.0854329715234705,1.9397113050010628,216.90539646148682,3.5193929904377796,2.29803257724463
TF_ANN,32,2017,"31,9,53,13,7,12,52",7,2.675654033049788,1.60386658769767,208.997074842453,3.059335228703375,1.9304648459776586
TF_ANN,32,2018,"31,9,53,13,7,12,52",7,3.1498563210152324,2.012342626828363,208.99627947807312,3.459172537027875,2.3004146321304573
TF_ANN,33,2017,"41,11,25,46,36,30,5",7,4.1921870523905875,3.03078180927913,214.3188934326172,4.608915720090694,3.358739552602202
TF_ANN,33,2018,"41,11,25,46,36,30,5",7,4.249616402774301,3.01153101952125,214.3171305656433,4.693683292303482,3.4017114188794606
TF_ANN,34,2017,"46,53,51,36,52,30,32",7,2.4634994001571986,1.6242638027210254,203.6622383594513,2.9399439698614978,2.017472014442032
TF_ANN,34,2018,"46,53,51,36,52,30,32",7,4.461744366889306,2.458198991619788,203.66109132766724,4.761446491232873,2.777555565647806
TF_ANN,35,2017,"41,11,25,5,33,10,36",7,3.1104857220344795,2.165802232374983,218.58281111717224,3.960903450892109,2.7653770255953978
TF_ANN,35,2018,"41,11,25,5,33,10,36",7,3.729927760239271,1.975669650515044,218.56903052330017,4.576771292786916,2.75810159875759
TF_ANN,36,2017,"51,46,42,34,11,33,32",7,2.3798288231428075,1.5815702731575265,209.6352458000183,3.0382481732593027,2.068116598799729
TF_ANN,36,2018,"51,46,42,34,11,33,32",7,3.1193238230860607,1.737390292092714,209.6348056793213,3.6404494632482347,2.216450183966118
