method,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae
TF_ANN,38,2017,"27,15,29,4,3,21,18",7,2.8272844463574476,1.9103101971395573,193.21456265449524,3.095924544081312,2.112801977160187
TF_ANN,38,2018,"27,15,29,4,3,21,18",7,3.6619893591703474,2.0887113113389155,193.1912293434143,3.8847998700333064,2.301596982784459
TF_ANN,38,2017,"27,15,29,4,3,21,18",7,2.8272844463574476,1.9103101971395573,191.910174369812,3.095924544081312,2.112801977160187
TF_ANN,38,2018,"27,15,29,4,3,21,18",7,3.6619893591703474,2.0887113113389155,191.91151928901672,3.8847998700333064,2.301596982784459
TF_ANN,39,2017,"3,27,4,50,15,29,23",7,3.0801590123844305,2.2548751314134194,189.85413789749146,3.3127642805912942,2.4522412806481317
TF_ANN,39,2018,"3,27,4,50,15,29,23",7,3.188220895825832,1.881280603727181,189.8544671535492,3.4318301479904845,2.1674196912572308
TF_ANN,39,2017,"3,27,4,50,15,29,23",7,3.0801590123844305,2.2548751314134194,187.68387627601624,3.3127642805912942,2.4522412806481317
TF_ANN,39,2018,"3,27,4,50,15,29,23",7,3.188220895825832,1.881280603727181,187.6839678287506,3.4318301479904845,2.1674196912572308
TF_ANN,40,2017,"49,16,6,50,26,23,47",7,3.1983697908703386,2.188502916872369,173.60114812850952,3.9327932645154076,2.688845571120612
TF_ANN,40,2018,"49,16,6,50,26,23,47",7,4.610888065515998,2.548916827424904,173.5985939502716,5.181816157977289,3.025784554136172
TF_ANN,40,2017,"49,16,6,50,26,23,47",7,3.1983697908703386,2.188502916872369,172.71650528907776,3.9327932645154076,2.688845571120612
TF_ANN,40,2018,"49,16,6,50,26,23,47",7,4.610888065515998,2.548916827424904,172.71437644958496,5.181816157977289,3.025784554136172
TF_ANN,41,2017,"33,10,35,25,5,36,11",7,4.933026590331458,3.6003369834935173,193.04133701324463,5.24119250105506,3.8005975262700114
TF_ANN,41,2018,"33,10,35,25,5,36,11",7,4.856965427937654,3.3867977632263586,193.04119896888733,5.256180423554302,3.6866781217801807
TF_ANN,41,2017,"33,10,35,25,5,36,11",7,4.933026590331458,3.6003369834935173,191.19419050216675,5.24119250105506,3.8005975262700114
TF_ANN,41,2018,"33,10,35,25,5,36,11",7,4.856965427937654,3.3867977632263586,191.19495511054993,5.256180423554302,3.6866781217801807
TF_ANN,42,2017,"36,12,51,46,32,34,9",7,2.7989184598898613,1.8898369111712652,201.49520897865295,3.251508425851038,2.2553681359212088
TF_ANN,42,2018,"36,12,51,46,32,34,9",7,3.9405622637418545,2.4198964780643446,201.4931538105011,4.277320155926215,2.708014117162596
TF_ANN,42,2017,"36,12,51,46,32,34,9",7,2.7989184598898613,1.8898369111712652,199.88518357276917,3.251508425851038,2.2553681359212088
TF_ANN,42,2018,"36,12,51,46,32,34,9",7,3.9405622637418545,2.4198964780643446,199.88282346725464,4.277320155926215,2.708014117162596
TF_ANN,43,2017,"49,6,26,45,22,47,50",7,3.0001892509416628,1.9979837359644201,155.20766758918762,3.3934950915362174,2.3059436125947337
TF_ANN,43,2018,"49,6,26,45,22,47,50",7,4.986081340079307,3.3929549309755753,155.19869136810303,5.260810266943676,3.586847574605765
TF_ANN,43,2017,"49,6,26,45,22,47,50",7,3.0001892509416628,1.9979837359644201,153.33680057525635,3.3934950915362174,2.3059436125947337
TF_ANN,43,2018,"49,6,26,45,22,47,50",7,4.986081340079307,3.3929549309755753,153.33606386184692,5.260810266943676,3.586847574605765
TF_ANN,44,2017,"37,1,33,56,30,10,25",7,4.726485253911685,3.5779047415367913,188.36596155166626,5.152142074377027,3.9323961641844423
TF_ANN,44,2018,"37,1,33,56,30,10,25",7,5.606821217397827,3.975539326123343,188.36674547195435,6.091982019130006,4.378752048272044
TF_ANN,44,2017,"37,1,33,56,30,10,25",7,4.726485253911685,3.5779047415367913,186.20277643203735,5.152142074377027,3.9323961641844423
TF_ANN,44,2018,"37,1,33,56,30,10,25",7,5.606821217397827,3.975539326123343,186.19663071632385,6.091982019130006,4.378752048272044
