method,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae
TF_LGBM,38,2017,"27,15,29,4,3,21,18",7,3.2732813724303202,2.1707833398499354,131.23061275482178,3.6301366461684057,2.4044018395992035
TF_LGBM,38,2018,"27,15,29,4,3,21,18",7,4.115520346900575,2.4342977993845287,131.42854022979736,4.448360268139617,2.6968828632592627
TF_LGBM,39,2017,"3,27,4,50,15,29,23",7,3.0484078641064514,2.2735955229954943,129.86989665031433,3.432755993316563,2.5070627966259424
TF_LGBM,39,2018,"3,27,4,50,15,29,23",7,3.48958572537462,2.0991752796464858,129.95313143730164,3.838018654472779,2.413211654812551
TF_LGBM,40,2017,"49,16,6,50,26,23,47",7,3.5785600181516917,2.4284165405887608,131.4029357433319,4.333032321849855,2.9498478003042483
TF_LGBM,40,2018,"49,16,6,50,26,23,47",7,4.759528681146635,2.7148587290269655,131.63630938529968,5.361471602490086,3.218728775585513
TF_LGBM,41,2017,"33,10,35,25,5,36,11",7,4.786761606061654,3.6889988509063856,132.91053247451782,5.347452506794703,4.001908673657484
TF_LGBM,41,2018,"33,10,35,25,5,36,11",7,4.6430559745898785,3.4333728883693504,133.13631105422974,5.361561719915808,3.8984346458863217
TF_LGBM,42,2017,"36,12,51,46,32,34,9",7,2.7589727374356188,1.9466258600518664,134.51017117500305,3.4513949871793383,2.4243803454564663
TF_LGBM,42,2018,"36,12,51,46,32,34,9",7,3.748974337227796,2.323192048156863,134.56526613235474,4.328356704211184,2.7741764192131426
TF_LGBM,43,2017,"49,6,26,45,22,47,50",7,2.7963381517236763,1.9429361746106708,140.6442470550537,3.5266105294723853,2.4490810108607683
TF_LGBM,43,2018,"49,6,26,45,22,47,50",7,4.60099744149204,3.162158648370036,140.2834348678589,5.1253730610558605,3.5321837131192018
TF_LGBM,44,2017,"37,1,33,56,30,10,25",7,4.615390909573948,3.6940359089955233,317.73129320144653,5.325724848338912,4.157819894891331
TF_LGBM,44,2018,"37,1,33,56,30,10,25",7,5.377623290940104,3.961636274682529,316.9364173412323,6.126769232692942,4.501452346959369
