method,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
TF_thinnedSV,1,2017,"56,10,5,37,25,41,8",7,4.262801796,2.782064518,1641.051,4.859733972,3.322529176,15.71428571
TF_thinnedSV,1,2018,"56,10,5,37,25,41,8",7,4.583372094,3.153545587,1646.833,5.091891042,3.535686347,15.71428571
TF_thinnedSV,2,2017,"28,8,14,12,9,31,32",7,3.413027087,2.006404805,1557.181,3.61604886,2.193449987,15.85714286
TF_thinnedSV,2,2018,"28,8,14,12,9,31,32",7,4.249846765,2.804643006,1511.645,4.38678031,2.915194044,15.85714286
TF_thinnedSV,3,2017,"4,50,47,29,26,39,40",7,3.049643041,1.850711477,1505.146,3.48555677,2.222566625,15.14285714
TF_thinnedSV,3,2018,"4,50,47,29,26,39,40",7,3.173087956,1.916084411,1488.729,3.653514277,2.344445754,15.14285714
TF_thinnedSV,4,2017,"29,23,3,24,27,15,40",7,2.934109367,1.725819819,1472.217,3.124734096,1.893372971,15.71428571
TF_thinnedSV,4,2018,"29,23,3,24,27,15,40",7,3.192073961,1.954524839,1475.189,3.402220434,2.130728715,15.71428571
TF_thinnedSV,5,2017,"10,25,11,8,1,33,41",7,2.935486174,1.666578971,1700.597,3.919374889,2.477416896,15.71428571
TF_thinnedSV,5,2018,"10,25,11,8,1,33,41",7,3.32499715,1.966816091,1693.857,4.149404486,2.638811701,15.71428571
TF_thinnedSV,6,2017,"43,13,9,49,40,28,53",7,2.588148889,1.449737047,1512.278,3.169285687,1.920898978,15.14285714
TF_thinnedSV,6,2018,"43,13,9,49,40,28,53",7,2.932080391,1.823289358,1514.29,3.503716702,2.221996397,15.14285714
TF_thinnedSV,7,2017,"53,31,13,32,9,52,22",7,3.05323804,1.722138062,1545.605,3.332056828,1.966490667,15.14285714
TF_thinnedSV,7,2018,"53,31,13,32,9,52,22",7,3.254320531,1.813089247,1579.476,3.570964278,2.085260811,15.14285714
TF_thinnedSV,8,2017,"11,5,25,10,2,33,36",7,2.354622332,1.447387836,1657.512,3.017013253,1.991818802,16.28571429
TF_thinnedSV,8,2018,"11,5,25,10,2,33,36",7,2.795515199,1.578014697,1637.254,3.401267671,2.113996858,16.28571429
TF_thinnedSV,9,2017,"13,32,31,12,28,6,7",7,2.761087917,1.633173153,1533.726,2.95524481,1.782898821,15.71428571
TF_thinnedSV,9,2018,"13,32,31,12,28,6,7",7,3.443715879,2.162344337,1538.864,3.603117693,2.271920995,15.71428571
TF_thinnedSV,10,2017,"5,25,1,11,41,8,33",7,3.825469252,2.27412253,1679.622,4.6516337,2.929128195,15.85714286
TF_thinnedSV,10,2018,"5,25,1,11,41,8,33",7,3.323178237,2.052511103,1664.833,4.081311069,2.664949432,15.85714286
TF_thinnedSV,11,2017,"12,8,33,36,5,10,25",7,3.760921845,2.331756728,1516.737,4.070709552,2.571687767,16.14285714
TF_thinnedSV,11,2018,"12,8,33,36,5,10,25",7,3.257587898,2.08150404,1525.457,3.659819111,2.4001732,16.14285714
TF_thinnedSV,12,2017,"28,9,32,11,42,31,53",7,2.880032925,1.737788457,1594.532,3.195561601,2.01037201,15.85714286
TF_thinnedSV,12,2018,"28,9,32,11,42,31,53",7,3.70832002,2.078128215,1596.313,3.946327376,2.310157904,15.85714286
TF_thinnedSV,13,2017,"9,26,7,6,32,31,53",7,2.510902509,1.484051078,1543.384,2.720234735,1.654468303,15
TF_thinnedSV,13,2018,"9,26,7,6,32,31,53",7,2.828183586,1.797785178,1585.412,3.025697795,1.947349995,15
TF_thinnedSV,14,2017,"28,9,2,16,12,13,40",7,2.725691557,1.700968153,1539.978,2.984667475,1.914436212,16
TF_thinnedSV,14,2018,"28,9,2,16,12,13,40",7,2.921082532,1.916947914,1575.129,3.156136208,2.109365292,16
TF_thinnedSV,15,2017,"27,29,4,48,24,16,40",7,2.325717254,1.414037448,1485.673,2.650781232,1.660999412,16.14285714
TF_thinnedSV,15,2018,"27,29,4,48,24,16,40",7,2.271535165,1.389146566,1509.617,2.645598059,1.688997463,16.14285714
TF_thinnedSV,16,2017,"48,40,24,23,15,14,43",7,2.072104432,1.384319187,1534.162,2.728462407,1.872516446,15.57142857
TF_thinnedSV,16,2018,"48,40,24,23,15,14,43",7,2.124653501,1.29812286,1484.453,2.803667799,1.855869845,15.57142857
TF_thinnedSV,17,2017,"19,20,21,18,15,27,48",7,5.02445907,3.723572152,1373,5.099203646,3.751718654,16.14285714
